case,field,x,region,discrepancy_sq,reference_sq
free_surface_fn167,phi_local,1.7902623815836317e-05,waterline,9.133832430680932e-06,0.28217516188800174
free_surface_fn167,phi_local,1.7902623815836317e-05,interior,7.669093837560303e-06,0.34508186351195014
free_surface_fn167,phi_local,1.7902623815836317e-05,control,2.33053681284904e-08,0.001961292804521974
free_surface_fn167,phi_local,0.021330123770672976,waterline,1.0819257632370782e-05,0.2780533803949076
free_surface_fn167,phi_local,0.021330123770672976,interior,7.584959643545027e-06,0.3247229529504205
free_surface_fn167,phi_local,0.021330123770672976,control,2.0883042594783752e-08,0.0018018690760802907
free_surface_fn167,phi_local,0.04264234491753012,waterline,1.111506834689368e-05,0.2736868563214293
free_surface_fn167,phi_local,0.04264234491753012,interior,7.489451760938536e-06,0.3050136828012102
free_surface_fn167,phi_local,0.04264234491753012,control,1.865976891245034e-08,0.0016535807067854786
free_surface_fn167,phi_local,0.06395456606438725,waterline,9.666514885325233e-06,0.2690616826344686
free_surface_fn167,phi_local,0.06395456606438725,interior,7.3812720769872295e-06,0.2859735118802227
free_surface_fn167,phi_local,0.06395456606438725,control,1.662492421059467e-08,0.0015157901157617478
free_surface_fn167,phi_local,0.0852667872112444,waterline,7.05925025861015e-06,0.2641683960840865
free_surface_fn167,phi_local,0.0852667872112444,interior,7.25991268653462e-06,0.2676193430520998
free_surface_fn167,phi_local,0.0852667872112444,control,1.4767811715584582e-08,0.0013878866110038294
free_surface_fn167,phi_local,0.10657900835810154,waterline,4.562477112709495e-06,0.25900238538798126
free_surface_fn167,phi_local,0.10657900835810154,interior,7.1257092947859e-06,0.2499653133643334
free_surface_fn167,phi_local,0.10657900835810154,control,1.3077708493080716e-08,0.0012692858771794387
free_surface_fn167,phi_local,0.12789122950495868,waterline,3.476459050228378e-06,0.2535638540123588
free_surface_fn167,phi_local,0.12789122950495868,interior,6.979756382391513e-06,0.23302264506642378
free_surface_fn167,phi_local,0.12789122950495868,control,1.154395098256585e-08,0.0011594294132590557
free_surface_fn167,phi_local,0.14920345065181584,waterline,4.426726099019103e-06,0.24785741006806655
free_surface_fn167,phi_local,0.14920345065181584,interior,6.823701722723634e-06,0.2167995555580628
free_surface_fn167,phi_local,0.14920345065181584,control,1.0156039678520227e-08,0.0010577839300991419
free_surface_fn167,phi_local,0.17051567179867297,waterline,6.9948013136471835e-06,0.24189145979011645
free_surface_fn167,phi_local,0.17051567179867297,interior,6.659458860293605e-06,0.20130122070444953
free_surface_fn167,phi_local,0.17051567179867297,control,8.903744101011113e-09,0.0009638407190850861
free_surface_fn167,phi_local,0.1918278929455301,waterline,9.904628110357185e-06,0.23567759400793598
free_surface_fn167,phi_local,0.1918278929455301,interior,6.488889325223052e-06,0.18652978373946127
free_surface_fn167,phi_local,0.1918278929455301,control,7.777192266423233e-09,0.0008771150025650989
free_surface_fn167,phi_local,0.21314011409238726,waterline,1.1682497325214245e-05,0.22923007506250065
free_surface_fn167,phi_local,0.21314011409238726,interior,6.313509643089924e-06,0.17248440128886888
