case,field,region,integrated_discrepancy_sq,integrated_reference_sq,discrepancy_share
free_surface_fn167,elevation_local,control,4.7372908083349636e-09,0.00026810974928714106,3.895993934470501e-05
free_surface_fn167,elevation_local,interior,1.046243032692327e-06,0.04407954185684339,0.008604404234968199
free_surface_fn167,elevation_local,waterline,0.00012054291556070331,0.04106202978505537,0.9913566358256871
free_surface_fn167,normal_derivative_local,control,2.489452672172178e-07,0.010004155268572035,5.811032585561302e-07
free_surface_fn167,normal_derivative_local,interior,8.50365184419954e-05,1.4132005468642246,0.00019849743887597114
free_surface_fn167,normal_derivative_local,waterline,0.42831580083508936,6.279496633357158,0.9998009214578655
free_surface_fn167,phi_local,control,3.901827498340529e-09,0.0004328234172362141,0.00033933833271734
free_surface_fn167,phi_local,interior,3.6731050354403332e-06,0.0907230199865066,0.3194465514306056
free_surface_fn167,phi_local,waterline,7.821333059626603e-06,0.1354232412585493,0.6802141102366772
free_surface_fn226,elevation_local,control,2.450454899793744e-10,5.028122524476383e-05,3.1263734141336798e-06
free_surface_fn226,elevation_local,interior,3.199921698171684e-07,0.01345647647845494,0.004082568557093421
free_surface_fn226,elevation_local,waterline,7.805987210611141e-05,0.03484308264086869,0.9959143050694924
free_surface_fn226,normal_derivative_local,control,4.6792508737769406e-08,0.0037302312517660126,1.8864265331184123e-07
free_surface_fn226,normal_derivative_local,interior,1.4570968177789426e-05,0.8755535580556557,5.874243917513947e-05
free_surface_fn226,normal_derivative_local,waterline,0.24803378442340324,6.122632207451029,0.9999410689181715
free_surface_fn226,phi_local,control,2.9374828753877126e-10,3.917199295610122e-05,7.262868448537391e-05
free_surface_fn226,phi_local,interior,4.383553421367153e-07,0.010930207538582572,0.1083824934037224
free_surface_fn226,phi_local,waterline,3.605872569580848e-06,0.042721375154163736,0.8915448779117923
free_surface_fn282,elevation_local,control,1.500461576831248e-10,1.5426399474422682e-05,4.340441335993585e-06
free_surface_fn282,elevation_local,interior,1.216048819934008e-07,0.004576777955297996,0.003517709914154909
free_surface_fn282,elevation_local,waterline,3.444757709779996e-05,0.023944232236388408,0.996477949644509
free_surface_fn282,normal_derivative_local,control,2.263533541350513e-08,0.0019017790928523258,1.4041259752388408e-07
free_surface_fn282,normal_derivative_local,interior,7.412538415103725e-06,0.5679640157630663,4.598181357141712e-05
free_surface_fn282,normal_derivative_local,waterline,0.1611984381785666,5.991897828894121,0.999953877773831
free_surface_fn282,phi_local,control,1.9097943750814072e-10,6.792488781171236e-06,8.949049903461158e-05
free_surface_fn282,phi_local,interior,8.314592207534443e-08,0.0019815923818229443,0.03896110574154523
free_surface_fn282,phi_local,waterline,2.0507381072126772e-06,0.01310599870416159,0.9609494037594202
