outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact,k_contribution_endpoint_average,k_contribution_within_panel_slope,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,k_contribution_weak_projection_error,s_nu_endpoint_jump_to_next
0,4.550092045682505,-0.0364037008005384,0.0030292431960652,0.0015146215980326,9.580376325980927e-05,-0.0398876981759097,4.81961215468731e-06,0.001781004464313656,0.001781004464313656,-0.069552911989476,-0.0102224843623437,5.708215312292963e-06,4.819612154687345e-06,8.886031576056193e-07,-0.10324210369113455,0.057155899040973415,8.103057441022172e-06,3.438074818225517e-06,0.1192508758490908
1,4.547161331811532,-0.0373822667042106,0.0031508889074112,0.0046046876497708,0.00029125849390833407,0.0473117880168956,7.052966383917771e-06,0.0026063019623259825,0.004387306426639639,0.1090283914867471,-0.0144048154529559,1.1053481083043329e-05,7.052966383917771e-06,4.000514699125558e-06,0.057155899040973415,-0.007825510858623024,3.0256529488327555e-06,2.513104663339892e-06,-0.012062791424646502
2,4.544100870277059,-0.0383629499467267,0.0032766096964163,0.00781843695168455,0.0004945365124555748,-0.0177173720369689,1.0285450576518326e-06,0.00038008106889765033,0.004767387495537289,-0.0264676068776024,-0.0089671371963351,1.1121713563124092e-06,1.0285450576518152e-06,8.362629866059392e-08,-0.007825510858623024,-0.009022865480722815,2.3292244593101163e-07,3.7843963599425383e-07,-0.0096426808068768
3,4.540921265069954,-0.0393906183727338,0.0034065050358714,0.0111599943178284,0.0007058987241399659,0.0134921250067299,6.201114465294751e-07,0.0002291514792464971,0.004996538974783787,-0.0186098180032119,0.0455940680166717,1.7902853793725122e-06,6.201114465294751e-07,1.170173932843037e-06,-0.009022865480722815,0.008596125647820682,8.827820661456238e-08,1.2559328518488367e-06,-0.068455683116072
4,4.537626120601219,-0.0404892940242218,0.0035406761673712,0.014633584919449702,0.0009256123820539229,-0.0057759324277617,1.1812189763867886e-07,4.3649907975082e-05,0.005040188882758869,-0.0228616150994003,0.0113097502438763,4.6265394513617346e-07,1.181218976386911e-07,3.4453204749748234e-07,0.008596125647820682,0.010362475265514728,3.190755971070785e-07,1.1338279580477683e-06,0.0039930579021359
5,4.534209988295837,-0.0416562480932189,0.0036792253729198,0.018243535689595202,0.0011539511759888696,0.0139791610612289,7.189829785741307e-07,0.00026568774696127687,0.005305876629720145,0.0153028081460122,0.012655513976445,7.211316972166776e-07,7.189829785740996e-07,2.148718642577873e-09,0.010362475265514728,-0.005913745030363925,9.94276775153675e-08,5.65328418872042e-07,-0.0475171804132747
6,4.530667051854221,-0.0428871904407183,0.0038222554225945,0.021994276087352355,0.001391195280775493,-0.0094057608098268,3.3814857857743424e-07,0.00012495696929928592,0.005430833599019431,-0.0348616664368297,0.0160501448171765,1.1637597393890242e-06,3.381485785774198e-07,8.25611160811604e-07,-0.005913745030363925,-0.001341451482619138,5.6957816201330904e-08,8.11591231758997e-07,-0.038055795118112495
7,4.526999827122972,-0.0442026608698758,0.0039698698524826,0.025890338724890903,0.0016376313959457572,0.0088442357377453,3.105252277610626e-07,0.00011474923690417746,0.005545582835923608,-0.022005650300936,0.0396941217764272,1.5699207434061067e-06,3.1052522776108363e-07,1.2593955156450229e-06,-0.001341451482619138,0.003984018388479096,1.6312892896657038e-08,1.2760483944471546e-06,-0.06246303501194
8,4.523208077349993,-0.0456140542571631,0.0041221735608288,0.029936360431546603,0.0018935528130389716,-0.0109984693393543,4.986441982436413e-07,0.00018426535469504948,0.005729848190618658,-0.0227689132355128,0.0007719745568048,6.890107757068119e-07,4.986441982436141e-07,1.9036657746319788e-07,0.003984018388479096,-0.003853184652446365,2.1116900301312053e-08,8.428125712271224e-07,-0.0268840953282273
9,4.519286879841324,-0.0471207374770314,0.0042792702620899,0.034137082343005956,0.002159259421242959,0.0227696832374491,2.2186239330567124e-06,0.0008198541713702452,0.0065497023619889025,-0.0261121207714225,0.0716514872463209,5.6269639357636745e-06,2.2186239330567314e-06,3.408340002706943e-06,-0.003853184652446365,0.010273541915942293,1.1526477116498767e-07,4.13164206507507e-06,-0.1123272840882866
