iteration,step_scale,objective,relative_decrease,maximum_displacement_ratio,condition_number,condition_number_ratio,dipole_coefficient,root_relative_mismatch,accepted,rejection_reason
1,0.1,0.0021009165454691494,0.10884525987108688,0.22527285186936255,147766.14675767993,1.0001126280318957,8.208878152491023,0.00015549460615965025,True,
1,0.05,0.002222468591289882,0.05728600967663246,0.11263642978111817,147757.80273957085,1.0000561539472523,8.205300514488435,7.588588674473349e-05,True,
1,0.02,0.002301881072114666,0.023601278664816077,0.04505457281819047,147752.79706060674,1.00002227445013,8.203153306308364,2.8269049091109195e-05,True,
2,0.1,0.0018763835338960343,0.10687383659162689,0.2475896665101342,147776.45475658655,1.0000697588665117,8.216477812476288,0.0003320848576756804,True,
2,0.05,0.0019804014309752313,0.05736311361525607,0.12379483997419691,147769.73890442651,1.0000243096732602,8.212671994546884,0.000245111063263616,True,
2,0.02,0.002050722789885299,0.023891360983423388,0.04951793756617107,147769.48535825766,1.0000225938122567,8.210387411111576,0.00018949204407219206,True,
3,0.1,0.0017030620055847171,0.09236999002620776,0.2697071901323265,147790.7877181005,1.0000969908334691,8.224514522415026,0.000516433924576443,False,displacement_limit
3,0.05,0.0017797677346336354,0.051490432268817866,0.1348536053835472,147783.04098848056,1.000044568885516,8.220489781356692,0.00042461788533434773,True,
3,0.02,0.001835355446787576,0.021865512229938138,0.05394144457945021,147779.06772520562,1.000017681900837,8.218073771527486,0.00036908259183115663,True,
4,0.1,0.0016408525534812716,0.07805242136326258,0.28071655312803334,147799.2538716004,1.0001097073318521,8.228745114355595,0.0006129829104314393,False,displacement_limit
4,0.05,0.0016994240038436228,0.04514281792312147,0.14035828901261999,147790.77344403215,1.0000523230236695,8.22461475293371,0.0005189412284077948,True,
4,0.02,0.001745027389815362,0.01951959468768813,0.05614331854540605,147785.68612201474,1.0000178987623782,8.222135261289752,0.0004627311663391203,True,
5,0.1,0.0016007996949212577,0.058033962506887346,0.2917078842143992,147802.5483871168,1.0000796730594899,8.233077881069027,0.0007174822564397973,False,displacement_limit
5,0.05,0.0016381917533224756,0.036031179024573624,0.14585395690622327,147799.23043493618,1.0000572227257964,8.228843458569017,0.0006154958104184867,True,
5,0.02,0.0016720876326196984,0.016085668533630908,0.05834158625828797,147794.14311483005,1.0000228002785247,8.226301562341822,0.0005575251985306389,True,
