benchmark,candidate_name,candidate_order,row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,improved_row_count,worsened_row_count,median_forward_gradient_component_value,max_abs_forward_gradient_component_value,candidate_gate_status,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,phase_aligned_forward,5,8,0,8,0.0,34.67833099838393,78.4947774692896,-7.105427357601002e-15,36.232998770138074,4,3,-5.006134844349392e-16,8.875650562967076,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_central,4,8,0,8,0.0,55.64695901842049,110.05671111666808,-7.105427357601002e-15,57.00938823219037,4,3,-4.814213352123716e-16,7.418563774922677,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_forward,8,8,0,8,0.0,37.51010747116355,130.2368633108137,-1.6192021955477323,31.830125449051305,4,2,0.22639375957555002,7.952113031733108,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_backward,6,8,0,8,0.0,69.19344431910746,136.0112994223719,-7.105427357601002e-15,79.51285722074007,4,3,0.07543742386123765,5.879312117894821,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_forward,2,8,0,8,0.0,34.70865148692262,136.88817789150292,-1.458822365398234,18.803854633395957,4,2,0.1648446299715785,8.060369417084017,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_forward,11,8,0,8,0.0,34.6336953994457,137.81658987541996,-1.5337784528751577,18.188100866895578,4,2,0.1619351934248642,8.009774058037092,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_zero,13,8,0,8,0.0,34.28260838685023,145.29901062581644,-1.8848654654706216,25.580317031386915,4,2,0.19686341480208577,7.772790324535155,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_copy_second,14,8,0,8,0.0,36.30953361316199,145.99872855751096,-2.263382881403327,30.71733910475938,4,2,0.22113584409877066,7.517291068780576,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_central,7,8,0,8,0.0,36.54179100594639,149.8372140473404,-1.2149557002964535,29.084999528114448,4,2,0.21342303959912337,8.22497941602772,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_central,10,8,0,8,0.0,35.12141861598636,154.4889250634016,-1.0460552363344924,16.390169266290233,4,2,0.1534399666120039,8.338987229202047,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_default,0,8,1,7,0.125,36.16747385232084,163.90449151082572,0.0,2.842170943040401e-14,2,2,0.0759964168287826,9.045074513727819,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_central,1,8,1,7,0.125,36.16747385232084,163.90449151082572,0.0,2.842170943040401e-14,2,2,0.0759964168287826,9.045074513727819,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_backward,9,8,0,8,0.0,37.151548155844864,167.67183416230736,1.8836713257408348,29.922656674517842,2,4,0.21738096961587944,8.353856205298042,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_backward,12,8,0,8,0.0,35.60794873828927,171.11460377240064,3.6050561307874744,14.610678768302648,2,4,0.1450318740090126,8.667395061756507,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_backward,3,8,0,8,0.0,35.602790461169135,171.18288433690557,3.63919641303994,15.168959737230633,2,4,0.14766975158719733,8.663913224700414,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_first_pair_gradient_average,15,8,0,8,0.0,44.14764377058958,189.78836769836872,16.432749668823433,35.350612050044354,0,6,0.2952828521607323,11.244285806010527,FAIL,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,INFO
