case_name,coefficient,total_rows,pass_rows,fail_rows,error_rows,finite_gate_rows,median_gate_error_ratio,max_gate_error_ratio,median_abs_error,median_rel_error,max_heave_residual,max_pitch_residual,max_heave_condition_number,max_pitch_condition_number,pass_fraction,diagnostic_conclusion,gate_role
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p75_fv0p25_hr0p0,A53,1,1,0,0,1,0.3121778179296665,0.3121778179296665,0.014048001806834992,0.09365334537889995,5.252802141568156e-16,6.275951950561822e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p75_fv0p25_hr0p25,A53,1,1,0,0,1,0.31330475396920876,0.31330475396920876,0.014098713928614393,0.09399142619076262,5.006264699469641e-16,4.712409975081006e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p75_fv0p25_hr0p5,A53,1,1,0,0,1,0.3142664644516735,0.3142664644516735,0.014141990900325307,0.09427993933550205,4.003657324692794e-16,4.65685306415574e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p75_fv0p25_hr1p0,A53,1,1,0,0,1,0.3156942087453744,0.3156942087453744,0.014206239393541847,0.09470826262361232,3.993131823181175e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p5_hr0p0,A53,1,1,0,0,1,0.6465353184358154,0.6465353184358154,0.02909408932961169,0.1939605955307446,3.330715959536073e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p5_hr0p25,A53,1,1,0,0,1,0.6470361032606059,0.6470361032606059,0.029116624646727263,0.19411083097818177,2.5400098219244074e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p5_hr0p5,A53,1,1,0,0,1,0.6475000781948792,0.6475000781948792,0.029137503518769564,0.19425002345846376,4.587035747852219e-16,4.599462520328898e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p5_hr1p0,A53,1,1,0,0,1,0.648317598391868,0.648317598391868,0.029174291927634058,0.1944952795175604,3.746807735978603e-16,4.542889949518914e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p75_hr1p0,A53,1,1,0,0,1,0.6865056898846453,0.6865056898846453,0.03089275604480904,0.2059517069653936,5.23465030890685e-16,5.687017771733765e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p75_hr0p5,A53,1,1,0,0,1,0.6876317327183153,0.6876317327183153,0.03094342797232419,0.2062895198154946,7.824651531410597e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p75_hr0p25,A53,1,1,0,0,1,0.6882499689709283,0.6882499689709283,0.03097124860369177,0.20647499069127848,8.29729518999924e-16,6.035898531387828e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt0p5_fv0p75_hr0p0,A53,1,1,0,0,1,0.6889050151140602,0.6889050151140602,0.031000725680132707,0.20667150453421806,5.333977116611382e-16,6.245627284325948e-16,26.83718311049982,26.83718311049982,1.0,selected_rows_within_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv0p1_hr0p0,A53,1,0,1,0,1,1.1821970709835563,1.1821970709835563,0.053198868194260035,0.35465912129506694,5.116998727584554e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
st5_bp8_fs4_cp4_r2p0_h2_fsm_noend_pr1p0_pl1p0_pf1p0_pm1p0_dt1p0_fv0p1_hr0p25,A53,1,0,1,0,1,1.1836185086389939,1.1836185086389939,0.05326283288875472,0.35508555259169816,3.880055151258166e-16,4.385277412078186e-16,26.83718311049982,26.83718311049982,0.0,selected_rows_outside_tolerance,diagnostic_matched_wigley_sensitivity_not_hard_gate
