field,traces_checked,max_relative_cell_conservation_error,max_relative_average_change
boundary_fn167_radiation3,226,5.948692980178318e-16,0.0009342236802548681
boundary_fn167_radiation5,226,4.591220218591138e-16,0.0011225958935613066
boundary_fn226_radiation3,226,4.755148866504247e-16,0.001005463387482726
boundary_fn226_radiation5,226,6.119910858021635e-16,0.001004306715071183
boundary_fn282_radiation3,226,4.719629858365988e-16,0.001032225276077802
boundary_fn282_radiation5,226,5.658404034443559e-16,0.0010377562583771187
