case,omega,cutoff_m,aft_saved_station_m,coefficient,old_value,new_value,delta,closure_relative_residual,time_quadrature,geometry,moment_product,stokes_quadrature,chain,lower_edge,upper_edge,conservative_reconstruction
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,A33,77.67768175826859,78.04108829249239,0.36340653422379887,3.4545827076879344e-14,-0.004757393607439678,0.25092206585407506,0.0,1.202544574090114e-14,0.17342074835175436,0.0,6.820724327494933e-23,-0.05617888637461965
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,B33,608.322196385381,532.0668299920296,-76.25536639335132,7.369494591879642e-16,-0.0015382770799552048,-113.3387750054415,-5.229024571516042e-14,-0.0,39.005718764760246,-0.0,-5.573001523643437e-05,-1.9207161455747035
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,A53,0.8122261877030416,1.0577881037459491,0.24556191604290756,1.9327290013571194e-14,-0.0030116798718045363,0.15454868757149262,6.915355262915372e-05,6.915355262915372e-05,0.10667588792013043,-0.0,7.456719213540736e-23,-0.012789286682174635
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,B53,109.47293659514588,56.69187200629102,-52.78106458885486,1.3311212733536046e-16,0.024255777858406626,-78.38791380781224,-0.01617513826542444,-0.016175138265372153,26.964475709591145,-0.0,-6.092653146957831e-05,-1.3494710654298911
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,A35,27.23082235011622,24.134214397707865,-3.0966079524083554,3.2225024706748927e-16,-0.0024640070067037173,-4.884352963371395,-0.0,-0.0,1.8969161119983948,-0.0,-2.5053539381816388e-06,-0.10670458867471574
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,B35,-402.225486795565,-457.10267158045633,-54.87718478489131,3.331182768869198e-16,0.0149877864510408,-79.95715028189795,-0.0,-0.0,25.87152872838948,-0.0,-6.09265314695783e-05,-0.8064900913023826
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,A55,18.40884269506486,16.233509300322794,-2.175333394742065,5.576517069020881e-16,-0.005090137310908952,-3.392731938930371,-0.0006737789259537573,-0.0006737789259717955,1.3014009107087663,0.0,-2.738964360757307e-06,-0.07756193239326217
fn167,8.6966,1.7902623815836317e-05,1.7902623815836317e-05,B55,148.65144427711434,109.03321480487429,-39.618229472240046,3.6868857884138765e-16,0.006371869890858635,-57.45307998745016,-0.008377623822853918,-0.008377623822801628,18.728844655510557,-0.0,-6.660759415128794e-05,-0.8835441549514674
fn226,10.4354,1.5857312361404375e-05,1.5857312361404375e-05,A33,66.95840027392943,67.1111759252804,0.1527756513509786,4.302809618321574e-14,-0.0038130958407466176,0.11890079305114323,3.2624360449067154e-17,0.0,0.08424073758139487,0.0,3.3554198755574454e-22,-0.046552783440823836
fn226,10.4354,1.5857312361404375e-05,1.5857312361404375e-05,B33,591.4235017904065,493.97674024965977,-97.4467615407467,2.7326970146581184e-16,-0.0006429254253531563,-150.08581048033716,2.1788688065932506e-14,-4.357737613186501e-14,55.282695563558484,-0.0,-6.077676647074768e-05,-2.6429429217762337
