node,y_over_Vt,material_dphi_dt_over_V2,similarity_material_dphi_dt_over_V2,auxiliary_psi_over_V2,difference_over_V2,cp_from_auxiliary,cp_from_finite_difference,cp_from_similarity_derivative
71,0.33338457535863175,243.09143071831036,0.06242569118574118,-727.4914950236774,-970.5829257419878,1455.8747806582821,-485.29107082569357,0.7669392285556874
72,0.6667691507172635,246.77579140354086,-0.05043580157497035,-739.1984708241624,-985.9742622277033,1479.0946021654008,-492.85392229000576,0.7985321202259519
73,1.0001537260758953,252.0926562266828,-0.22051235387136103,-756.170782605333,-1008.2634388320158,1512.790921145939,-503.7359565180927,0.8903806430156831
74,1.333538301434527,259.03040601189167,-0.46445697628210403,-778.5710021240168,-1037.6014081359085,1557.2627255155146,-517.9400907563022,1.0496352200452903
75,1.6669228767931588,267.7398065827573,-0.8081368645196663,-807.0399942821457,-1074.7798008649029,1613.753868763552,-535.8057329662539,1.2901539282999803
76,2.0003074521517905,278.47223490135866,-1.294583053139351,-842.6679332621218,-1121.1401681634804,1684.3787725927245,-557.9015637342364,1.6320721747595934
77,2.333692027510422,291.5800702129962,-1.9958137744578568,-887.0956481890069,-1178.675718402003,1772.299631942088,-585.0518048619182,2.099963112989924
78,2.667076602869054,307.5162076184156,-3.0365494662941557,-942.7187762645558,-1250.2349838829714,1882.0774256341604,-618.3925421317825,2.712972037636968
79,3.0004611782276855,326.7993325658953,-4.643462905827388,-1013.0089151947848,-1339.8082477606802,2020.175309437675,-659.4411860836851,3.4444048597602475
80,3.3338457535863175,349.8600933496686,-7.251810580692517,-1102.9291361275884,-1452.789229477257,2195.4219046830735,-710.1565542714407,4.067253589281554
81,3.667230328944949,378.84867681583046,-11.73680780040768,-1219.1049504662817,-1597.9536272821122,2418.3004409445716,-777.6068136196526,3.5641556128237646
82,4.000614904303581,414.73151887007515,-19.81524849497242,-1367.637280974594,-1782.3687998446692,2693.617403480415,-871.1201962089234,-2.0266614788283093
83,4.3339994796622126,453.90032130072245,-33.63669296271361,-1537.8198664228605,-1991.720187723583,2984.0508814677796,-999.3894939793865,-24.315465452514374
