xi,eta
4.551577507612729,-0.036082620946752075
4.548666833327374,-0.036941983528941694
4.545642379424434,-0.03784630610350485
4.542501429670705,-0.0388005792724907
4.539239474899317,-0.03980417077078002
4.535851400357359,-0.04085492430971289
4.532331454200618,-0.04194906887803903
4.528680169839343,-0.04310329306428759
4.524902032270101,-0.044345994749784914
4.520998071342281,-0.045693125421662976
4.516959904342473,-0.04713314124586288
4.512778604762213,-0.04865469949886056
4.508455693933659,-0.050275741838869896
4.5039978083473695,-0.05202632498239947
4.499407611382773,-0.05392387830635828
4.494687603697379,-0.05598386245010069
4.489839584748381,-0.058218851813208836
4.484877080745814,-0.06066443695534534
4.47981670883292,-0.06335682274771066
4.474678273203567,-0.0663317029411393
4.46949598325056,-0.06964093533171836
4.464309514203623,-0.0733323816005572
4.459173165855876,-0.07746007625732812
4.45414200370956,-0.08206281471470472
4.449304578001191,-0.08719790562051033
4.44478312229841,-0.09292529488470305
4.440699442182604,-0.09927055546701354
4.437170481599909,-0.10622786672432595
4.434330566682123,-0.11377440705852404
4.43231996717599,-0.12186026759284889
4.431258672393283,-0.13040248208633304
4.431188826094944,-0.13929289686945573
4.432108865086627,-0.14842726824658076
4.434019682269285,-0.15771033891538103
4.436911411101194,-0.16705523596347008
4.44074377890197,-0.17639326228877755
4.445448561950248,-0.18568292473487433
4.450952598872747,-0.19490518862584555
4.457242543400859,-0.20401985504791267
4.46427595061557,-0.21301242912124196
4.472008761158906,-0.2218809955209795
4.48040512987677,-0.23062725546899332
4.489433319231862,-0.23925803789785793
4.499072969554875,-0.2477757794474549
4.509309548048888,-0.25618153509051506
4.520128054694705,-0.2644813584351747
4.531515668223416,-0.2726829761537089
4.5434590103407695,-0.2807992145057406
4.555949755822691,-0.28883956909236685
4.5689912587968555,-0.29679782091348794
4.58258018933144,-0.3046798014877766
4.596708840126012,-0.31250159287252666
4.611378867837998,-0.3202650997659804
4.6265938136969735,-0.32796974088189224
4.642352657996866,-0.335625126394637
4.658657085226501,-0.3432371075629659
4.675509355037648,-0.35081161404833844
4.6929147225593235,-0.35834893564410303
4.710876710429535,-0.3658540384672435
4.729398253443778,-0.37333432913847514
4.7484858710942435,-0.38078920267427474
4.7681433619747535,-0.3882254863507855
4.788376727538797,-0.3956449518830068
4.809192408144722,-0.4030485192813186
4.8305953064386955,-0.4104418164998091
4.852592300750661,-0.4178252360128393
4.875188750345835,-0.4252039318980077
4.898391289771719,-0.4325795370729686
4.922206289343493,-0.4399546663852805
4.946640083558375,-0.44733222469717016
4.971699380594695,-0.45471399202936036
4.99739077806519,-0.4621021426779402
5.023721073155825,-0.4694981387856758
5.050696669287204,-0.4769047754864278
5.078324145556176,-0.4843241425624064
5.10661019372411,-0.4917577520411458
5.1355612605279015,-0.49920783428277915
5.165183787656096,-0.5066764067205796
5.195484185180696,-0.5141653174995832
5.226469002438898,-0.5216754866256563
5.2581443909405365,-0.529209047978097
5.290516523599843,-0.5367676097115353
5.323591435650312,-0.5443528641539953
5.357375056113005,-0.5519664141180987
5.391873217431911,-0.5596096815227384
5.427091591346024,-0.5672841484300608
5.463035703937397,-0.5749912508711361
5.499710906098208,-0.5827324747117149
5.537122451362189,-0.5905089448884778
5.575275328711671,-0.5983221780574104
5.614174323361158,-0.6061737683099763
5.653824072401296,-0.6140650646866983
5.694229224653904,-0.6219963168020848
5.735391285378224,-0.6299828322183316
5.777316024685037,-0.6380170326764109
5.820009035896555,-0.646090710934919
5.863474704287551,-0.6542005042380432
5.907713567324923,-0.6623624288763049
5.952728403455437,-0.6705793682704948
5.998524862805862,-0.6788369194414544
6.045105565099721,-0.6871356484245483
6.0924716215332015,-0.6954831438430583
6.140625024681007,-0.7038805781955307
6.189566669631557,-0.7123338470340492
6.239298584656646,-0.7208406781060203
6.289823963070084,-0.7293900877810303
6.341141976843592,-0.7379929400288596
6.393250812614457,-0.7466644748230169
6.446152485546919,-0.7553952030496599
6.49984816012758,-0.7641786502056003
