component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,restoring_matrices_sha256,target_identifier,beam_m,deadrise_deg,trim_deg,fn_b,mean_wetted_length_over_b,lcg_from_transom_m,rho_water_kg_m3,gravity_m_s2,matrix_coordinate_contract,response_calibration_used
bem,1.13,6.275166034286394,A33,-42.74838582936837,-1.3293470022534253,0.021026452757141947,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.13,6.275166034286394,A35,27.87107158281151,2.725493726962749,0.04633573472541298,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.13,6.275166034286394,A53,-10.628818166705068,-1.039385125624227,0.054937826380552106,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.13,6.275166034286394,A55,-4.6993426539405885,-1.4451120186235276,0.08343016743450304,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.13,6.275166034286394,B33,354.0998810228974,1.982885527915747,0.021026452757141947,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.13,6.275166034286394,B35,-241.80682128854548,-4.258074839280997,0.04633573472541298,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.13,6.275166034286394,B53,19.68206862787306,0.3465895658474468,0.054937826380552106,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
bem,1.13,6.275166034286394,B55,47.56599172609287,2.6339903423762556,0.08343016743450304,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,A33,-11.053721055893437,-0.34373767954771506,0.09631961048705867,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,A35,-2.5358777377128128,-0.2479818131837884,0.21171740754602086,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,A53,-8.491085594953212,-0.8303376658980341,0.07889080232264138,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,A55,-2.439301238293133,-0.7501184306159824,0.1859630895020238,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,B33,38.20833071250828,0.21395868814412936,0.09631961048705867,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,B35,16.599286854545678,0.2923036055339641,0.21171740754602086,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,B53,23.795234379349985,0.41901997745794783,0.07889080232264138,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
front,1.13,6.275166034286394,B55,10.406923878485797,0.57628856237511,0.1859630895020238,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
longitudinal_bin_aft_post_chine,1.13,6.275166034286394,A33,-4.479250196566104,-0.13929129031715295,0.010945552467431027,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
longitudinal_bin_aft_post_chine,1.13,6.275166034286394,A35,8.698966263325223,0.8506661794939792,0.009392700066904305,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
longitudinal_bin_aft_post_chine,1.13,6.275166034286394,A53,1.6514458409127262,0.16149380071206845,0.01174742061247229,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
longitudinal_bin_aft_post_chine,1.13,6.275166034286394,A55,-3.0634350404072817,-0.9420480950570375,0.009940379437960667,zero_component_decomposition,aaf16245eeacba4acfa7c0db2370c44209c3546374e46edf253a33ed8da62e8b,sun2007_troesch_prismatic_planing_hull,0.318,20.0,4.0,2.5,3.0,0.46746,1000.0,9.80665,heave_up_pitch_bow_up_force_and_moment_about_cg,False
