iteration,step_factor,exact_objective,exact_relative_decrease,low_mode_objective,predicted_low_mode_objective,trust_ratio,maximum_displacement_ratio,condition_number,condition_number_ratio,dipole_coefficient,root_relative_mismatch,accepted,rejection_reason
1,1.0,0.001399389494788598,0.08628824480454249,0.0013993456438088222,0.001399742956025467,1.0030144911433263,0.04925158681953343,147796.93874838995,0.9999343090834104,8.23679316004523,9.28358185131355e-05,True,
1,0.5,0.00144747107257391,0.05489405255542795,0.001447448377138019,0.0014476770869894665,1.002727066301129,0.024623384276307562,147801.7818920698,0.9999670758346727,8.238110984657338,0.00028219620809036343,True,
1,0.25,0.0014850040320193369,0.030387432789969724,0.0014849923304054349,0.0014851188383703429,1.0027250038703137,0.012311984936459726,147804.20572951483,0.9999834745384717,8.238768000423596,0.0004688109724420946,True,
1,0.125,0.0015071474667050064,0.015929187499400685,0.0015071414574009323,0.0015072083855355003,1.0027502458220492,0.006155881667025982,147805.41822838315,0.999991677815403,8.239096033637473,0.000561892849932017,True,
2,1.0,0.0013847005399784788,0.010496687923427728,0.001384686773878172,0.0013850454588372207,1.0250058602937515,0.016465464801407075,147793.2168517938,0.9999748174987408,8.2358877368713,0.00032288237103054204,True,
2,0.5,0.0013898634396347033,0.006807293601509922,0.0013898565753202349,0.0013900434069005327,1.0199903513144117,0.008232635109405452,147795.0805724775,0.9999874275074425,8.236343372936462,0.0002077635989926208,True,
2,0.25,0.0013940795231460132,0.0037944915710453526,0.0013940761206597042,0.001394172933366471,1.0185587207611997,0.004116361442689663,147796.0125039844,0.999993732993299,8.236570949780585,0.0001502833787637442,True,
2,0.125,0.0013965963626888928,0.0019959647475609405,0.0013965946974130632,0.001396645334708011,1.0184527481855317,0.002058260213498254,147796.4784875438,0.9999968858567028,8.236684677601575,0.00012156307351248702,True,
3,1.0,0.001382504218883981,0.0015861343525813987,0.0013825022353081387,0.001382566521663985,1.0301245567620834,0.007440974449553842,147791.81132786805,0.9999904899294048,8.235670783465965,0.0003505026221263858,True,
3,0.5,0.001383494333331019,0.0008710956720495308,0.001383493352427169,0.0013835263927005179,1.0281398032163804,0.0037204872233756662,147792.51499267903,0.9999952510735626,8.235780168265599,0.000336694193294123,True,
3,0.25,0.0013840699364799022,0.00045540785200125575,0.0013840694572921836,0.0013840866818093198,1.028059441091677,0.0018602436113175004,147792.86681871084,0.9999976316025159,8.23583484599834,0.00032979128550015755,True,
3,0.125,0.0013843778750580104,0.0002330214448196807,0.0013843776468488865,0.0013843869147613546,1.0295509160680716,0.0009301218055530684,147793.0427300958,0.9999988218559571,8.235862181369018,0.00032634015622653463,True,
