route,configuration,frequency_index,omega_0_rad_s,omega_e_rad_s,term,row,column,value_real,value_imag
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,rigid_mass,heave,heave,32.60032733,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,rigid_mass,heave,pitch,0.0,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,rigid_mass,pitch,heave,0.0,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,rigid_mass,pitch,pitch,11.080492655866367,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,added_mass,heave,heave,88.06818306354451,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,added_mass,heave,pitch,0.45474513453416865,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,added_mass,pitch,heave,0.45474513453416865,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,added_mass,pitch,pitch,15.091805444697577,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,radiation_damping,heave,heave,416.8294152030625,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,radiation_damping,heave,pitch,-449.58801879316434,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,radiation_damping,pitch,heave,175.2767690928877,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,radiation_damping,pitch,pitch,104.65886887484777,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,restoring,heave,heave,5172.462057024546,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,restoring,heave,pitch,-460.049846202537,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,restoring,pitch,heave,1113.5850944364274,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,restoring,pitch,pitch,880.780322777691,0.0
faltinsen_ch9,FnB=1.67,0,5.653231330621184,16.733537370253234,excitation_per_wave_amplitude,heave,wave_amplitude,193.32008299173344,105.76974202079317
