case,field,force_mode,old_real,old_imag,new_real,new_imag,change_abs,change_relative
fn167,radiation3,3,4979.581838809975,-3965.1651774167212,4976.284998547509,-3948.7095543388227,16.782630502936247,0.0026365250706823044
fn167,radiation3,5,-629.6993777681352,886.9881824402622,-628.6840666791084,874.8571170025109,12.173479587303923,0.011191103845030522
fn167,radiation5,3,-2084.0591808190225,-2971.818077854954,-2076.983401286851,-2981.249976563129,11.790986779280738,0.0032484392714328403
fn167,radiation5,5,1074.2564256824367,-351.5164009154116,1068.6641602699976,-343.6371678691979,9.662077718571082,0.008548199797550077
fn167,diffraction,3,-1215.1181505880672,1188.6112882358507,-1208.5721996479392,1185.1561728562822,7.4018440943249875,0.004354546620251368
fn167,diffraction,5,493.6995925509186,-9.645120417086712,489.25078000843985,-7.2958631520750865,5.030998184786632,0.010188459624084618
fn226,radiation3,3,6061.072002730391,-4474.43911900348,6056.64192167597,-4445.944425761185,28.837010266691355,0.003827716407607019
fn226,radiation3,5,-264.0391132589889,824.4727615291272,-263.48707809253995,809.2257115156716,15.257040241731424,0.0176235172944736
fn226,radiation5,3,-2013.3631218629498,-4589.801617238846,-2000.6003414184177,-4601.023647424786,16.994779379841177,0.0033908337098560817
fn226,radiation5,5,985.0194867289736,-508.0325525609676,977.7008420299337,-500.4662945307975,10.526671877184056,0.009497912648082857
fn226,diffraction,3,-1005.5060025370234,1318.3631569966744,-998.0450311047275,1311.0423266503115,10.452782006421273,0.0063042691967477625
fn226,diffraction,5,356.0807713451878,-70.09686255335659,352.35509228281904,-66.41816054588857,5.235793438966282,0.014427063197063994
fn282,radiation3,3,7202.526541192807,-5090.234388401041,7196.960195363379,-5047.774176792852,42.82351895518338,0.004855446692858061
fn282,radiation3,5,221.2537789985275,730.6782153362087,221.3649418958187,714.4810688306746,16.197527962978455,0.02121644494273495
fn282,radiation5,3,-1994.3084239705147,-6174.801346241502,-1974.3305793371908,-6185.580853920427,22.700485941786305,0.0034983725820138772
fn282,radiation5,5,920.1401059561848,-825.998637067965,911.9276513933548,-819.7016490585838,10.348742335996045,0.008369385087684172
fn282,diffraction,3,-873.495197193049,1404.5283427683978,-866.3475148324803,1393.4411247994854,13.191503531355297,0.007975548510181498
fn282,diffraction,5,230.94763832330648,-84.7976859459025,228.30453634966435,-80.83460830954701,4.763609177383465,0.019362431819779962
