case_order,case_label,time_step_s,coefficient,value_nondimensional,harmonic_fit_residual_nrmse,sun_fig7_13_value,sun_fig7_13_digitization_uncertainty,reference_relative_error
0,sub8,0.0031103849223331993,A33,0.9533654512416857,0.018092587526104868,1.00621118,0.0372670807,0.05251952056258636
0,sub8,0.0031103849223331993,A53,-0.23091438306912437,0.01960818059243611,-0.208074534,0.0372670807,0.10976763292486512
0,sub8,0.0031103849223331993,B33,2.096662366980895,0.018092587526104868,2.57342657,0.111888112,0.18526435087639018
0,sub8,0.0031103849223331993,B53,0.8324206929426765,0.01960818059243611,1.68764569,0.111888112,0.5067562475494033
1,sub16,0.0015551924611665996,A33,0.9818952922660142,0.017341431925377338,1.00621118,0.0372670807,0.02416578966453716
1,sub16,0.0015551924611665996,A53,-0.24017263170832673,0.01812545460487833,-0.208074534,0.0372670807,0.15426249955377394
1,sub16,0.0015551924611665996,B33,2.155237941051985,0.017341431925377338,2.57342657,0.111888112,0.1625026467912839
1,sub16,0.0015551924611665996,B53,0.8938505366946479,0.01812545460487833,1.68764569,0.111888112,0.4703565197416243
2,sub32,0.0007775962305832998,A33,0.9601723426660511,0.020789208373153865,1.00621118,0.0372670807,0.04575464698568433
2,sub32,0.0007775962305832998,A53,-0.2889514467020199,0.022780752014426513,-0.208074534,0.0372670807,0.3886920285113789
2,sub32,0.0007775962305832998,B33,2.196461951814097,0.020789208373153865,2.57342657,0.111888112,0.1464835338922855
2,sub32,0.0007775962305832998,B53,0.9122167587551473,0.022780752014426513,1.68764569,0.111888112,0.4594737721546593
