fn_b,frequency_index,lambda_over_l,heave_amplitude_ratio,pitch_amplitude_ratio,point_acceleration_amplitude_ratio
2.0,6,6.0,2.0,2.0,2.0
3.0,6,6.0,2.0,2.0,2.0
4.0,6,6.0,2.0,2.0,2.0
