metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
heave_motion,4,0.08228194240823916,0.10611292955803783,0.15,0.2,PASS
pitch_motion,4,0.12698250844420345,0.13601385526775248,0.15,0.2,PASS
