configuration,metric,computed_peak_lambda_over_l,reference_peak_lambda_over_l,computed_peak_omega_e_rad_s,reference_peak_omega_e_rad_s,peak_frequency_relative_error,limit,status,scope
A,heave,3.0,4.0,11.540772492860068,9.147414581544645,0.2616431003514523,0.1,FAIL,full_measured_range_including_nonlinear_resonance
A,pitch,3.0,3.0,11.540772492860068,11.540772492860068,0.0,0.1,PASS,full_measured_range_including_nonlinear_resonance
B,heave,3.0,4.0,15.191643547542252,11.885567872556283,0.27815883182323003,0.1,FAIL,full_measured_range_including_nonlinear_resonance
B,pitch,3.0,4.0,15.191643547542252,11.885567872556283,0.27815883182323003,0.1,FAIL,full_measured_range_including_nonlinear_resonance
