fn_b,frequency_index,lambda_over_l,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
2.0,6,6.0,8.428535806551759e-16,5.248772210151907e-16,8.526512829121202e-14,5.684341886080802e-14,0.0
3.0,6,6.0,1.7251287597025731e-15,3.3703650449619545e-16,1.1368683772161603e-13,1.1368683772161603e-13,0.0
4.0,6,6.0,8.604016979586907e-16,1.8626351182253023e-15,1.7053025658242404e-13,1.4210854715202004e-13,0.0
