fn_b,frequency_index,lambda_over_l,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
2.0,6,6.0,1.2642803709827973e-15,7.873158315225651e-16,8.526512829121202e-14,5.684341886080802e-14,0.0
3.0,6,6.0,1.9407698546655425e-15,6.740730089923349e-16,1.1368683772161603e-13,1.4210854715202004e-13,0.0
4.0,6,6.0,4.3020084897941467e-16,2.0695945758057403e-15,1.7053025658242404e-13,1.4210854715202004e-13,0.0
