frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,fn_b,speed_mps,lambda_over_l
0,1.5394429461116106,3.0529932298937883,0.241660973353061,26.0,0.01,-0.2848955885619642,-1.0863758932934375,0.34687504768761546,-0.09518472185601179,1.1231108929714744,0.3596976924906411,1.4884393102444855,1.9422251970593651,-14.694582282569257,74.6553748188889,39.329744249681,14.694582282569257,74.6553748188889,10.46825569179835,18.103029808639985,0.010674650050525257,0.018459952999892917,2.0900904018089133,2.375426695520789e-16,0.9003163161571062,0.9396585011617274,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,4.0
1,1.4790489410946988,2.8761722799705556,0.22307166771051787,28.166666666666664,0.01,-0.2634438661291436,-1.061287338354075,0.3184254929752462,-0.06387240581757345,1.0934959922888365,0.32476834636622665,1.4558924030983686,1.7519282869119157,-13.940781702380491,78.65766440696774,40.083632303733395,13.940781702380491,78.65766440696774,9.045800143824154,14.49259371911024,0.009224149066015565,0.014778332783478803,1.9447773246325957,1.5337574306535235e-16,0.9146734907722543,0.9484170576784681,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,4.333333333333333
2,1.425247221963202,2.7225760366336402,0.20713797715976656,30.333333333333336,0.01,-0.248459315687502,-1.0468724273369623,0.2927627834259394,-0.04011145727697953,1.0759525596745823,0.2954978449400037,1.4265749284211882,1.5988926189400103,-13.351261222175651,82.19847385902602,40.14824805712908,13.351261222175651,82.19847385902602,7.975412568540881,11.851664066581288,0.00813265750132908,0.012085333999460865,1.8564105922737852,1.0701856750606683e-16,0.9261605167099024,0.9554077874450132,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,4.666666666666667
3,1.3769196299952429,2.587759857020985,0.1933287786824488,32.5,0.01,-0.23644335641296746,-1.0390549242126996,0.2693797242812202,-0.021977017249332174,1.065617471854928,0.27027472160933524,1.3980056329496273,1.474260021035947,-12.819707410840323,85.33592309319687,39.65133258033106,12.819707410840323,85.33592309319687,7.135908548595791,9.872383819543483,0.007276601641330926,0.010067029841529457,1.8009301003113651,1.838340051450189e-16,0.935489283788639,0.9610741546013652,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,5.0
4,1.3331966990094135,2.468359411846047,0.18124573001479577,34.666666666666664,0.01,-0.22578516013504984,-1.0352164028773994,0.2480736731901471,-0.008203795428699572,1.0595527071947068,0.24820928586474733,1.36946280524504,1.3725370222204174,-12.30377669907142,88.1059190594134,38.70685216141359,12.30377669907142,88.1059190594134,6.455640812419178,8.362591079269604,0.00658292160158584,0.008527469706035807,1.7642943132347468,1.2848918392224955e-16,0.9431653207443821,0.9657293983655569,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,5.333333333333333
5,1.293390778762496,2.3617792143734455,0.17058421648451366,36.83333333333333,0.01,-0.21578857023635806,-1.0336831176690002,0.22874223977480176,0.002155098293840798,1.0559666163276922,0.22875239169427064,1.3409938879957146,1.2897617860160615,-11.791550659186697,90.53979703740998,37.42488117555277,11.791550659186697,90.53979703740998,5.890182902504017,7.194292606251612,0.0060063150030887375,0.007336136811502005,1.7383274485432472,5.366160417636047e-17,0.9495551838108746,0.9695996829861291,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,5.666666666666666
6,1.2569499020334356,2.2659834245548875,0.16110731556870733,39.0,0.01,-0.2061957388990288,-1.0334050693892876,0.2112910381820808,0.009850246354504396,1.053775460038615,0.2115205194994234,1.312916913504256,1.2227470919341261,-11.284059533137935,92.66915821389625,35.90931409756206,11.284059533137935,92.66915821389625,5.4108007068502015,6.278416114466887,0.005517481205967585,0.0064022027037437725,1.7183492871672885,2.0199230767189746e-16,0.954929658551372,0.9728515069731682,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,6.0
7,1.2234251963882203,2.1793516914085433,0.15262798317035434,41.166666666666664,0.01,-0.19694555910541622,-1.033741659562652,0.19560424008130836,0.015483931570162954,1.0523351994334749,0.19621613306416882,1.2855842617350448,1.1687876368217984,-10.786564863187493,94.52606655506526,34.25270015340871,10.786564863187493,94.52606655506526,4.998143686622512,5.551243131587954,0.00509668815204225,0.005660692623462605,1.7017376856051432,1.317739731451061e-16,0.9594921498783174,0.9756095836134925,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,6.333333333333333
8,1.1924473785453502,2.100577548814657,0.14499658401183663,43.33333333333333,0.01,-0.18805312431520352,-1.0343159890277402,0.18154404400890875,0.0195359370062229,1.0512723446962458,0.18259214865327508,1.2592858645440184,1.1255557992249494,-10.304614379030596,96.14195831993612,32.53221567036687,10.304614379030596,96.14195831993612,4.638661467381173,4.96643171637961,0.004730118304804569,0.005064350941840088,1.6870573362498356,7.23977508806956e-17,0.9633977620041159,0.9779687867767397,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,6.666666666666666
9,1.1637094837096942,2.028595360156653,0.13809198477317772,45.5,0.01,-0.1795529312957213,-1.0349169509737146,0.16895998805197085,0.02238363830756485,1.0503772420181312,0.17043621923290253,1.2342223881628733,1.0910624058630858,-9.842557158421926,97.546539336352,30.808039560642243,9.842557158421926,97.546539336352,4.3225115180383495,4.489939069110575,0.004407735075727542,0.00457846366405508,1.6735427216595264,1.0509509579247421e-16,0.9667663853085522,0.980002304614558,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,2.0,6.2631142413339385,7.0
