configuration,running_trim_deg,keel_wetted_length_m,reported_mean_wetted_length_m,mean_wetted_length_over_b,matrix,row_dof,column_dof,value,matrix_contract
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,added_mass,heave,heave,88.06818306354451,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,added_mass,heave,pitch,0.45474513453416865,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,added_mass,pitch,heave,0.45474513453416865,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,added_mass,pitch,pitch,15.091805444697577,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,radiation_damping,heave,heave,416.8294152030625,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,radiation_damping,heave,pitch,-449.58801879316434,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,radiation_damping,pitch,heave,175.2767690928877,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,radiation_damping,pitch,pitch,104.65886887484777,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,restoring,heave,heave,5172.462057024546,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,restoring,heave,pitch,-460.049846202537,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,restoring,pitch,heave,1113.5850944364274,heave_pitch_2x2_v1
FnB=1.67,3.972,1.7902623815836316,1.49,3.514150943396226,restoring,pitch,pitch,880.780322777691,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,added_mass,heave,heave,76.3362379758857,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,added_mass,heave,pitch,-6.648294024663404,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,added_mass,pitch,heave,-6.648294024663404,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,added_mass,pitch,pitch,10.529465730695158,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,radiation_damping,heave,heave,528.8234819306508,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,radiation_damping,heave,pitch,-554.299195669874,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,radiation_damping,pitch,heave,147.01292797672093,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,radiation_damping,pitch,pitch,141.59729318361758,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,restoring,heave,heave,4643.674123151832,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,restoring,heave,pitch,-1843.5640581856203,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,restoring,pitch,heave,1483.4074534567453,heave_pitch_2x2_v1
FnB=2.26,4.174,1.5857312361404374,1.3,3.066037735849057,restoring,pitch,pitch,772.4325393003717,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,rigid_mass,heave,heave,32.60032733,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,rigid_mass,pitch,pitch,11.080492655866367,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,added_mass,heave,heave,67.24054517228247,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,added_mass,heave,pitch,-10.570193696459405,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,added_mass,pitch,heave,-10.570193696459405,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,added_mass,pitch,pitch,8.655104505560654,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,radiation_damping,heave,heave,617.3415731540192,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,radiation_damping,heave,pitch,-640.5737609666241,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,radiation_damping,pitch,heave,106.80009215564534,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,radiation_damping,pitch,pitch,176.99661647952198,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,restoring,heave,heave,4514.819046847233,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,restoring,heave,pitch,-3091.2759860029832,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,restoring,pitch,heave,2007.0379031017178,heave_pitch_2x2_v1
FnB=2.82,4.024,1.4563822514041216,1.16,2.7358490566037736,restoring,pitch,pitch,806.2655863344758,heave_pitch_2x2_v1
