metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
heave_motion,4,0.08228194240824172,0.10611292955828634,0.15,0.2,PASS
pitch_motion,4,0.12698250844429806,0.1360138552678577,0.15,0.2,PASS
