configuration,matrix,row_dof,column_dof,value,matrix_contract
A,rigid_mass,heave,heave,7.263271150848,heave_pitch_2x2_v1
A,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
A,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
A,rigid_mass,pitch,pitch,0.5978223689938476,heave_pitch_2x2_v1
A,added_mass,heave,heave,13.664082343854627,heave_pitch_2x2_v1
A,added_mass,heave,pitch,-1.1524306452200488,heave_pitch_2x2_v1
A,added_mass,pitch,heave,-1.1524306452200488,heave_pitch_2x2_v1
A,added_mass,pitch,pitch,0.8114481319542873,heave_pitch_2x2_v1
A,radiation_damping,heave,heave,138.60367341101207,heave_pitch_2x2_v1
A,radiation_damping,heave,pitch,-88.15131067273022,heave_pitch_2x2_v1
A,radiation_damping,pitch,heave,20.595119832142274,heave_pitch_2x2_v1
A,radiation_damping,pitch,pitch,15.793639509147896,heave_pitch_2x2_v1
A,restoring,heave,heave,1667.147338580177,heave_pitch_2x2_v1
A,restoring,heave,pitch,-471.24091655064143,heave_pitch_2x2_v1
A,restoring,pitch,heave,287.4869921357407,heave_pitch_2x2_v1
A,restoring,pitch,pitch,112.04803557924302,heave_pitch_2x2_v1
B,rigid_mass,heave,heave,7.263271150848,heave_pitch_2x2_v1
B,rigid_mass,heave,pitch,0.0,heave_pitch_2x2_v1
B,rigid_mass,pitch,heave,0.0,heave_pitch_2x2_v1
B,rigid_mass,pitch,pitch,0.6170282938973181,heave_pitch_2x2_v1
B,added_mass,heave,heave,10.36362478056072,heave_pitch_2x2_v1
B,added_mass,heave,pitch,-1.4474620630647372,heave_pitch_2x2_v1
B,added_mass,pitch,heave,-1.4474620630647372,heave_pitch_2x2_v1
B,added_mass,pitch,pitch,0.5340242077119337,heave_pitch_2x2_v1
B,radiation_damping,heave,heave,181.10340560371736,heave_pitch_2x2_v1
B,radiation_damping,heave,pitch,-108.80015698607829,heave_pitch_2x2_v1
B,radiation_damping,pitch,heave,8.280047704201944,heave_pitch_2x2_v1
B,radiation_damping,pitch,pitch,20.350400462114415,heave_pitch_2x2_v1
B,restoring,heave,heave,1669.1104930019371,heave_pitch_2x2_v1
B,restoring,heave,pitch,-1003.0094858386461,heave_pitch_2x2_v1
B,restoring,pitch,heave,566.0200017604425,heave_pitch_2x2_v1
B,restoring,pitch,pitch,123.52716402012908,heave_pitch_2x2_v1
