frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,configuration,fn_b,speed_mps,lambda_over_l
0,5.655284970861961,16.74364272255437,3.2612816916742378,1.9265999999999999,0.01,-0.006700186811485179,-0.015396845916849297,0.05433261977631744,-0.034208739077180084,0.016791526657692527,0.06420491726502316,0.019687019808479776,0.08148081249266216,-23.517046732682388,57.804785764655975,46.05019426504441,23.517046732682388,57.804785764655975,4.7074973053391105,22.843110877612027,0.0048003113248042,0.023293490516753456,5.453449321981279,1.8940232161716208e-16,0.013995610492069628,0.3166142589302131,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.014
1,5.620244580566254,16.571620136368367,3.2209928105300336,1.9506983333333334,0.01,-0.007508189565927594,-0.015362330813072866,0.05239138529818352,-0.03572029508690221,0.017098950803139706,0.06340975267699828,0.019686399941564545,0.08053047699496411,-26.046621876454253,55.71394721282397,43.58355185983538,26.046621876454253,55.71394721282397,4.695689827477386,22.115166362003894,0.004788271048194222,0.02255119369203948,5.4799104259281455,7.123060953485944e-17,0.02665369519297985,0.3278739711187729,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0266833333333334
2,5.585847557002136,16.403584089072403,3.181687215314785,1.9747966666666668,0.01,-0.00838615605462942,-0.015176673349867055,0.05012438011702007,-0.03725389815001898,0.01733952211974605,0.062452433175077364,0.01962871550492701,0.07933588273130716,-28.92366994696124,53.37919433563542,40.87041850746189,28.92366994696124,53.37919433563542,4.665676493714503,21.34750661588426,0.004757665965150692,0.021768398602870765,5.5070611556951885,2.997760192327907e-16,0.03927383644233807,0.3389410362575901,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0393666666666668
3,5.552074450332887,16.23939421670911,3.1433293430518296,1.9988949999999999,0.01,-0.009337260463765472,-0.014836358917596711,0.04753447297114351,-0.03881248895519909,0.017530030772932182,0.06136721779209013,0.019522999690674878,0.07794213112696532,-32.184253670988596,50.767934003773206,37.870207016287395,32.184253670988596,50.767934003773206,4.622983332309069,20.554737053912106,0.004714131056282287,0.02095999862737235,5.534921045886276,1.5664695679256517e-16,0.051840678746535564,0.349814767996201,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.05205
4,5.518906624083483,16.07891673010324,3.105885325299929,2.022993333333333,0.01,-0.010364803992508208,-0.014338061950066447,0.044624388891361104,-0.04039924721258343,0.01769206551782627,0.060194977026915314,0.019380939964711158,0.07640494041561384,-35.862691334861154,47.84490078351075,34.538317782137085,35.862691334861154,47.84490078351075,4.573957354800948,19.753088682890148,0.004664138472160165,0.020142544786333913,5.563510297100249,3.9066225290035027e-16,0.06434045463354054,0.3604950129221303,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0647333333333333
5,5.486326211925033,15.92202403252935,3.0693228884130344,2.0470916666666668,0.01,-0.011472227883818345,-0.01367862356243947,0.04139667873063355,-0.04201759791822364,0.017852640005925832,0.05898443476668061,0.019217409477951006,0.07479295681534304,-39.98647787539761,44.573509557030434,30.827451989885816,39.98647787539761,44.573509557030434,4.525837930014488,18.960826003350565,0.0046150703145462395,0.019334661687070064,5.592849798460343,6.523056569815988e-17,0.07676085680614177,0.3709820890156251,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0774166666666667
6,5.45431607723286,15.768594363826843,3.033611260762936,2.07119,0.01,-0.012663126887735698,-0.012855031167417562,0.03785369328651724,-0.04367121907947236,0.01804457283756453,0.0577934033546822,0.01905102479747108,0.07319020498232037,-44.56912650200431,40.91835644667458,26.69046354318897,44.56912650200431,40.91835644667458,4.486757200037927,18.198639675917093,0.004575219060574129,0.018557447931676053,5.622961150672931,2.0668485753151258e-16,0.08909091913558503,0.3812767299824449,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.0901
7,5.422859775210269,15.618511468848578,2.998721086364209,2.0952883333333334,0.01,-0.013941263215298674,-0.011864400000046191,0.03399756148980084,-0.045364050920290944,0.018306359752810933,0.05668978129391168,0.018904652904096875,0.07169829192007018,-49.60129900375401,36.849298413912436,22.08548174159722,49.60129900375401,36.849298413912436,4.465614963945162,17.48993080060119,0.0045536599796517285,0.017834766001235073,5.653866689574918,5.60687258804428e-17,0.10132090608094489,0.39138003495199986,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.1027833333333334
8,5.391941517387847,15.471664288320284,2.9646243443918934,2.1193866666666663,0.01,-0.015310581044086566,-0.010703956488279253,0.029830172201163265,-0.04710030659385793,0.018681235944404705,0.05575193319326668,0.018805732773102005,0.07043765241650683,-55.04177492470909,32.34742442050194,16.98395817567888,55.04177492470909,32.34742442050194,4.471772205460356,16.860829617022958,0.004559938618651993,0.017193261324736746,5.685589510118683,2.3996685110350997e-16,0.1134422100990699,0.40129342306686006,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.1154666666666666
9,5.361546138324173,15.327946670359896,2.931294274128154,2.143485,0.01,-0.016775221639174134,-0.009371023414898191,0.025353159220296507,-0.048884484438481896,0.0192152059808368,0.0550679171684011,0.018786212511802413,0.06954674266128515,-60.81127322381914,27.41279303836734,11.38168326166192,60.81127322381914,27.41279303836734,4.514534806884568,16.339725463413565,0.004603544336633375,0.016661882970651104,5.71815349073118,1.7708173287939352e-16,0.125447256600573,0.41101859252668527,faltinsen_ch9_reduced_order_planing,heave_pitch_2x2_v1,FnB=1.67,1.67,3.4,1.12815
