x_m,local_time_s,free_panels,newly_exposed,edge_extrapolated,exposure_ratio,equation_residual,history_norm,free_phi_norm,free_eta_norm
2.999997,0.0,128,0,0,0.0,6.235838435728268e-16,1.366036992915953e-06,0.0,0.0
2.9906220187500003,0.008642103177064533,128,0,0,0.0,5.094834233820714e-16,0.004302906220197896,3.562462733129548e-05,0.0008406983653568609
2.9812470375,0.017284206354129476,128,0,0,0.0,5.021043399407826e-16,0.009688720874370938,0.00021433856570588853,0.0033797321478865245
2.97187205625,0.02592630953119442,128,0,0,0.0,5.597444070390969e-16,0.01633915218807392,0.0006834783068644042,0.007710847047657422
2.9624970750000004,0.03456841270825895,126,0,0,0.0,5.063935927208538e-16,0.024126471847495824,0.0014753239923929891,0.012730395226477462
2.9531220937500002,0.043210515885323895,126,0,0,0.0,4.4868270284677e-16,0.03298034719523207,0.002858747102088366,0.019981510755478497
2.9437471125,0.05185261906238884,126,0,0,0.0,5.408024112962866e-16,0.04286415183898675,0.004924020170966055,0.028882356935443252
2.9343721312500004,0.060494722239453375,124,0,0,0.0,4.798222943733186e-16,0.053762738231918364,0.007312939104981056,0.03689056822580101
2.9249971500000003,0.06913682541651832,124,0,0,0.0,5.161740822477343e-16,0.06567520642947447,0.010908045472282885,0.04825248976669583
2.91562216875,0.07777892859358326,124,0,0,0.0,4.613265983075901e-16,0.07861128790825334,0.015522346311906262,0.06107698128768826
2.9062471875000004,0.08642103177064779,124,0,0,0.0,4.977172095002981e-16,0.09258858587221674,0.021278109197611573,0.07535920354041778
2.8968722062500003,0.09506313494771274,122,0,0,0.0,5.033405986746708e-16,0.10763106535582831,0.02657213205303827,0.08565268143798559
2.887497225,0.10370523812477768,122,0,0,0.0,4.875330377846258e-16,0.12376711917521917,0.034465144124126164,0.10168400075728255
2.87812224375,0.11234734130184262,122,0,0,0.0,5.467737074012036e-16,0.14102942014384154,0.04375435388184082,0.11887673203216266
2.8687472625000003,0.12098944447890715,122,0,0,0.0,4.873844355200174e-16,0.15945390752440622,0.05453566801158732,0.13721360929040619
2.85937228125,0.1296315476559721,120,0,0,0.0,4.79448271735974e-16,0.17907907502683557,0.06302073017408694,0.14829631423724132
2.8499973,0.13827365083303703,120,0,0,0.0,4.561657189962912e-16,0.199945310710134,0.07629987405510728,0.1677068482516503
2.8406223187500004,0.14691575401010157,120,0,0,0.0,4.395970222846035e-16,0.22209537351706787,0.09123638317856406,0.1879102585948672
2.8312473375000002,0.15555785718716653,120,0,0,0.0,4.822300098819643e-16,0.24557360954271426,0.10789159949983361,0.20884303442174723
2.82187235625,0.16419996036423146,118,0,0,0.0,5.42971418009117e-16,0.27042495197431876,0.11936103549964518,0.21968786275832258
2.8124973750000004,0.172842063541296,118,0,0,0.0,5.150268022338434e-16,0.29669543887831346,0.1386594243222379,0.24117171101040738
2.8031223937500003,0.18148416671836093,118,0,0,0.0,5.255207680494499e-16,0.32443264672177446,0.15975834399237968,0.2630816176586425
2.7937474125,0.1901262698954259,118,0,0,0.0,5.150433837679514e-16,0.3536847953978368,0.18268349325521932,0.2853141514951847
2.7843724312500004,0.1987683730724904,116,0,0,0.0,5.137834670943411e-16,0.3844996973609848,0.196576356963303,0.29513712681560467
2.7749974500000003,0.20741047624955536,116,0,0,0.0,5.206421327937636e-16,0.4169253775829905,0.22210654937129293,0.31751741127927946
2.76562246875,0.2160525794266203,116,0,0,0.0,4.802343134980021e-16,0.451011220565862,0.24947133848827405,0.3400074354341528
2.7562474875,0.22469468260368525,116,0,0,0.0,4.54451650951343e-16,0.48680675111159327,0.27866583236324177,0.3625130024952064
2.7468725062500003,0.23333678578074976,114,0,0,0.0,4.686219228048688e-16,0.5243610044454662,0.29418036410700815,0.370678155106914
2.737497525,0.24197888895781472,114,0,0,0.0,5.31445311239869e-16,0.5637209346605774,0.3257907788940134,0.39299433472495376
2.72812254375,0.25062099213487965,114,0,0,0.0,4.807280984437382e-16,0.6049358476975559,0.35917683262079836,0.41517652292603857
2.7187475625000004,0.2592630953119442,114,0,0,0.0,4.4138835697543743e-16,0.6480546475596919,0.394309003839678,0.43716016879288055
2.7093725812500002,0.2679051984890091,114,0,0,0.0,4.160917457224483e-16,0.6931256096267958,0.4311505638462233,0.4589267997804087
2.6999976,0.27654730166607405,112,0,0,0.0,4.490190649571798e-16,0.7401946380756659,0.44774237788183413,0.4647793133861521
2.6906226187500004,0.2851894048431386,112,0,0,0.0,5.017526173017488e-16,0.7893077368044578,0.48663112767464495,0.48603877521434175
2.6812476375000003,0.2938315080202036,112,0,0,0.0,4.666558556925105e-16,0.8405117843706701,0.5271164561076322,0.5069680040307954
