case,mode,omega_e_rad_s,baseline_abs,candidate_abs,amplitude_ratio,phase_change_deg,max_matrix_absolute_difference
fn167,F3,16.733999999999998,2805.4833978623587,2788.963735227837,0.9941116519715963,142.45731667005802,0.0
fn167,F3,13.7884,1695.202392365307,3999.1716443022437,2.359111609512431,116.02438236606078,0.0
fn167,F3,11.1048,1038.260498440024,4887.3623697231,4.707260246408596,50.83014814318565,0.0
fn167,F3,9.86,1324.4507390491226,5180.460711059437,3.9114030883313196,20.587803329056204,0.0
fn167,F3,8.6966,1777.1564223958383,5392.337997776956,3.034250631977225,6.716846232986134,0.0
fn167,F3,7.5978,2262.3675912649296,5535.063014040138,2.4465798729663497,0.7429030068643552,0.0
fn167,F3,6.560399999999999,2747.05393444047,5618.961786941905,2.0454501153019393,-1.7565335127466344,0.0
fn167,F3,5.601,3211.091267965265,5654.827818866387,1.7610299262685287,-2.7359926168015676,0.0
fn167,M5,16.733999999999998,147.39444665291538,2135.9730648543477,14.491543700314162,124.44053033646449,0.0
fn167,M5,13.7884,643.469801962668,2025.5477863396134,3.1478521294416995,-14.894216133690243,0.0
fn167,M5,11.1048,1101.8561528973903,1789.9613621211574,1.6244964076430097,-13.603912447811462,0.0
fn167,M5,9.86,1292.7701992762888,1637.9685147169944,1.2670221789100278,-10.905943329308739,0.0
fn167,M5,8.6966,1472.948175914876,1489.5826751917743,1.0112933364180083,-10.216722713175303,0.0
fn167,M5,7.5978,1625.273621262151,1349.4332704951782,0.8302806695694961,-11.510805911943722,0.0
fn167,M5,6.560399999999999,1729.6623686876817,1222.9535454406193,0.7070475530831435,-14.410554727517113,0.0
fn167,M5,5.601,1773.554526163377,1116.127915802535,0.6293169447781156,-18.2472535291766,0.0
fn226,F3,20.646,4609.100473976705,3461.8929260005434,0.7510994706118095,131.89180650797553,0.0
fn226,F3,16.879600000000003,3501.1310923591,4270.202151342643,1.2196635997612233,115.25004394887632,0.0
fn226,F3,13.471200000000003,2488.119944185843,4794.314133848251,1.9268822409673,90.2784862843088,0.0
fn226,F3,11.9,2217.2840751503127,4941.064630715389,2.2284310278918267,72.44249889038366,0.0
fn226,F3,10.4354,2187.965558679174,5031.838460116994,2.2997795555587275,53.48245056433437,0.0
fn226,F3,9.0582,2369.272911700184,5076.252136954518,2.1425358437546196,36.90628815478713,0.0
fn226,F3,7.7676,2681.789994251257,5083.089990724267,1.8954094099912702,24.4343808130707,0.0
fn226,F3,6.579000000000001,3043.2309534762035,5061.883823260974,1.6633255578183825,15.701957527595585,0.0
fn226,M5,20.646,820.2753429152217,1647.4287145839,2.008385024385851,39.515528594262186,0.0
fn226,M5,16.879600000000003,1421.8153558607248,1423.5399014360837,1.0012129180967488,18.143734954317477,0.0
fn226,M5,13.471200000000003,1908.695206482319,1142.718656344604,0.5986910075865952,13.142039281102113,0.0
fn226,M5,11.9,2080.324299698307,993.9611128486754,0.47779142559302973,11.832573375511693,0.0
fn226,M5,10.4354,2197.2765044877233,852.8513597187919,0.3881402081062288,10.195146209137928,0.0
fn226,M5,9.0582,2257.045132190985,721.3186100358915,0.31958537281692934,8.077260476641328,0.0
fn226,M5,7.7676,2259.6553089381077,602.5327638401225,0.2666480863062579,5.378595394914507,0.0
fn226,M5,6.579000000000001,2212.1770111491683,500.27577921467775,0.2261463602113818,2.050797279644281,0.0
fn282,F3,24.395,7291.70540915392,3833.5236390950326,0.5257375914120821,126.18851975870876,0.0
fn282,F3,19.842,5983.836737875129,4178.240485290846,0.6982544257673959,111.09590117490592,0.0
fn282,F3,15.739,4730.3464968127655,4333.122478168375,0.9160264435360002,92.02930562088721,0.0
fn282,F3,13.855,4214.9168868665,4342.220526815887,1.0302031198636583,80.40957314228577,0.0
fn282,F3,12.101749999999996,3851.3121636167043,4322.9822396984255,1.1224699676483205,67.61997479148734,0.0
fn282,F3,10.45775,3648.1477456800735,4281.3809647736825,1.1735766375809333,54.25381062601683,0.0
fn282,F3,8.924499999999998,3595.0576861865966,4223.60635576373,1.17483688008463,41.40993562474899,0.0
fn282,F3,7.516249999999999,3656.546559149261,4156.391889992969,1.1366987464149787,30.15443001780549,0.0
fn282,M5,24.395,2214.6668559741415,975.372481469052,0.44041499010921237,29.43235681688086,0.0
fn282,M5,19.842,2668.232163606846,775.3915054589883,0.29060121380548626,20.074663548051788,0.0
fn282,M5,15.739,2901.29393939155,576.2340217282392,0.19861276856666416,13.96158298262453,0.0
fn282,M5,13.855,2920.8053196504547,483.77056673874114,0.1656291720245963,11.517829758785203,0.0
fn282,M5,12.101749999999996,2893.6920074754853,400.6451742662324,0.13845467079123022,8.963317742570013,0.0
fn282,M5,10.45775,2827.7657223504207,327.10721116320775,0.11567691360630765,6.0356662772760465,0.0
fn282,M5,8.924499999999998,2732.718611733077,264.2914656129732,0.09671375035769263,2.4353520246623446,0.0
fn282,M5,7.516249999999999,2620.75135051601,213.40459485022737,0.08142878369907519,-2.1287059449786017,0.0
