phase,outer_iteration,source_shape_dipole_coefficient,target_shape_dipole_coefficient,source_formal_exact_objective,rebased_formal_exact_objective,formal_exact_relative_change,maximum_displacement_ratio,rebased_root_relative_mismatch,rebased_condition_number
pre_linearization,1,8.114675883905234,8.114673284312538,0.0010083335512829515,0.0010083335142873884,-3.668980669437589e-08,8.497542715899704e-08,1.043280248329047e-07,253091.83337382638
final_synchronization,1,8.114673284312538,8.114420541916992,0.0009664448339938719,0.0009664299446065757,-1.540634992553542e-05,2.627745084684868e-05,1.0322194642882644e-07,253103.99359826124
