case,speed_mps,area_m2,normal_velocity_rms_mps,rms_over_speed,normal_velocity_abs_max_mps,fx_abs_max
fn167,3.4,0.6602180547098848,0.15284209090146247,0.044953556147488964,0.3431529073507894,0.10591244857523661
fn226,4.6,0.5761515183396346,0.22705229914395317,0.04935919546607678,0.48761743313349687,0.11129873120670701
fn282,5.75,0.5141567780287022,0.295321083268792,0.051360188394572515,0.5878507217147037,0.10729901638135869
