case,x_m,fx_mean,normal_velocity_rms_mps,required_transverse_normal_velocity_mean_mps
fn167,1.7902623815836317e-05,1.6481242888387021e-15,5.519198923323174e-15,-5.3672757617121965e-15
fn167,0.016002068483958694,-6.501573145320402e-17,4.39465776106317e-16,2.1173000235598296e-16
fn167,0.031986234344101555,0.0,0.0,0.0
fn167,0.047970400204244416,1.6915918392437353e-16,6.640614925249697e-16,-5.508832033462992e-16
fn167,0.06395456606438726,-7.38627324996692e-17,4.787316297164834e-16,2.405411148443459e-16
fn167,0.07993873192453012,6.679804586682256e-17,4.615266624247254e-16,-2.1753428120603602e-16
fn167,0.09592289778467299,-6.679804586682256e-17,4.615266624247254e-16,2.1753428120603602e-16
fn167,0.11190706364481584,6.679804586682256e-17,4.615266624247254e-16,-2.1753428120603602e-16
fn167,0.1278912295049587,0.0,0.0,0.0
fn167,0.14387539536510158,-1.3465668549882903e-16,5.808119951236676e-16,4.3852248833710376e-16
fn167,0.15985956122524442,1.3465668549882903e-16,5.808119951236676e-16,-4.3852248833710376e-16
fn167,0.17584372708538729,0.0,0.0,0.0
fn167,0.19182789294553015,-1.3465668549882903e-16,5.808119951236676e-16,4.3852248833710376e-16
fn167,0.207812058805673,1.3465668549882903e-16,5.808119951236676e-16,-4.3852248833710376e-16
fn167,0.22379622466581586,-1.3465668549882903e-16,5.808119951236676e-16,4.3852248833710376e-16
fn167,0.2397803905259587,1.3465668549882903e-16,5.808119951236676e-16,-4.3852248833710376e-16
fn167,0.25576455638610157,-1.3465668549882903e-16,5.808119951236676e-16,4.3852248833710376e-16
fn167,0.2717487222462444,2.864274414500517e-17,4.478504898107181e-16,-9.327785983102862e-17
fn167,0.2877328881063873,-2.864274414500517e-17,4.478504898107181e-16,9.327785983102862e-17
fn167,0.30371705396653015,0.0,0.0,0.0
fn167,0.319701219826673,2.864274414500517e-17,4.478504898107181e-16,-9.327785983102862e-17
fn167,0.3356853856868159,-2.864274414500517e-17,4.478504898107181e-16,9.327785983102862e-17
fn167,0.3516695515469587,0.0,0.0,0.0
fn167,0.36765371740710157,2.864274414500517e-17,4.478504898107181e-16,-9.327785983102862e-17
fn167,0.38363788326724446,-2.864274414500517e-17,4.478504898107181e-16,9.327785983102862e-17
fn167,0.3996220491273873,0.0,0.0,0.0
fn167,0.41560621498753014,0.0,0.0,0.0
fn167,0.431590380847673,2.864274414500517e-17,4.478504898107181e-16,-9.327785983102862e-17
fn167,0.4475745467078159,-2.864274414500517e-17,4.478504898107181e-16,9.327785983102862e-17
fn167,0.4635587125679587,0.0,0.0,0.0
fn167,0.47954287842810156,2.864274414500517e-17,4.478504898107181e-16,-9.327785983102862e-17
fn167,0.49552704428824446,-2.864274414500517e-17,4.478504898107181e-16,9.327785983102862e-17
fn167,0.5115112101483873,0.0,0.0,0.0
fn167,0.5274953760085301,0.0,0.0,0.0
fn167,0.543479541868673,0.0,0.0,0.0
fn167,0.5594637077288158,-1.4752288383280234e-16,6.094853843376413e-16,4.804225045743351e-16
fn167,0.5754478735889588,1.4752288383280234e-16,6.094853843376413e-16,-4.804225045743351e-16
fn167,0.5914320394491016,0.0,0.0,0.0
fn167,0.6074162053092445,0.0,0.0,0.0
fn167,0.6234003711693873,0.0,0.0,0.0
fn167,0.6393845370295301,0.0,0.0,0.0
fn167,0.655368702889673,-1.4752288383280234e-16,6.094853843376413e-16,4.804225045743351e-16
fn167,0.6713528687498159,1.4752288383280234e-16,6.094853843376413e-16,-4.804225045743351e-16
fn167,0.6873370346099588,0.0,0.0,0.0
fn167,0.7033212004701016,0.0,0.0,0.0
fn167,0.7193053663302444,0.0,0.0,0.0
fn167,0.7352895321903873,0.0,0.0,0.0
fn167,0.7512736980505301,-1.4752288383280234e-16,6.094853843376413e-16,4.804225045743351e-16
fn167,0.7672578639106731,1.4752288383280234e-16,6.094853843376413e-16,-4.804225045743351e-16
fn167,0.7832420297708159,0.0,0.0,0.0
fn167,0.7992261956309588,0.0,0.0,0.0
fn167,0.8152103614911016,0.0,0.0,0.0
fn167,0.8311945273512444,0.0,0.0,0.0
fn167,0.8471786932113873,0.0,0.0,0.0
fn167,0.8631628590715301,-1.4752288383280234e-16,6.094853843376413e-16,4.804225045743351e-16
fn167,0.8791470249316731,1.4752288383280234e-16,6.094853843376413e-16,-4.804225045743351e-16
fn167,0.8951311907918159,0.0,0.0,0.0
fn167,0.9111153566519588,0.0,0.0,0.0
fn167,0.9270995225121016,0.0,0.0,0.0
fn167,0.9430836883722444,0.0,0.0,0.0
fn167,0.9590678542323873,-1.4752288383280234e-16,6.094853843376413e-16,4.804225045743351e-16
fn167,0.9750520200925302,1.4752288383280234e-16,6.094853843376413e-16,-4.804225045743351e-16
fn167,0.9910361859526731,1.5142563753071166e-16,6.280673189473061e-16,-4.931321985389091e-16
fn167,1.0070203518128158,-2.8493507900029265e-16,1.034835675876403e-15,9.279185760058244e-16
fn167,1.0230045176729587,0.0,0.0,0.0
fn167,1.0389886835331017,2.8493507900029265e-16,1.034835675876403e-15,-9.279185760058244e-16
fn167,1.0549728493932444,-2.8493507900029265e-16,1.034835675876403e-15,9.279185760058244e-16
fn167,1.0709570152533874,2.8493507900029265e-16,1.034835675876403e-15,-9.279185760058244e-16
fn167,1.08694118111353,-2.8493507900029265e-16,1.034835675876403e-15,9.279185760058244e-16
fn167,1.102925346973673,2.8493507900029265e-16,1.034835675876403e-15,-9.279185760058244e-16
fn167,1.1189095128338158,-2.8493507900029265e-16,1.034835675876403e-15,9.279185760058244e-16
fn167,1.1348936786939587,0.0,0.0,0.0
fn167,1.1508778445541017,2.8493507900029265e-16,1.034835675876403e-15,-9.279185760058244e-16
fn167,1.1668620104142444,-2.8493507900029265e-16,1.034835675876403e-15,9.279185760058244e-16
fn167,1.1828461762743874,-0.030124582090643566,0.09806279530590431,0.09810360807239121
fn167,1.19883034213453,-0.08308080637826173,0.2697080536604881,0.27056066181255656
fn167,1.214814507994673,-0.10591244857523598,0.34315290735078696,0.3449141074803294
fn167,1.230798673854816,-0.10591244857523546,0.34315290735078524,0.3449141074803277
fn167,1.2467828397149587,-0.10591244857523602,0.343152907350787,0.34491410748032947
fn167,1.2627670055751017,-0.10591244857523535,0.3431529073507849,0.34491410748032736
fn167,1.2787511714352444,-0.10591244857523589,0.3431529073507866,0.344914107480329
fn167,1.2947353372953874,-0.10591244857523563,0.3431529073507858,0.3449141074803282
fn167,1.31071950315553,-0.10591244857523603,0.3431529073507871,0.3449141074803296
fn167,1.326703669015673,-0.10591244857523563,0.34315290735078585,0.3449141074803283
fn167,1.342687834875816,-0.10591244857523541,0.3431529073507851,0.3449141074803275
fn167,1.3586720007359587,-0.10591244857523578,0.3431529073507863,0.3449141074803287
fn167,1.3746561665961017,-0.1059124485752354,0.3431529073507851,0.3449141074803274
fn167,1.3906403324562444,-0.10591244857523598,0.3431529073507869,0.3449141074803294
fn167,1.4066244983163874,-0.10591244857523582,0.3431529073507864,0.34491410748032886
fn167,1.42260866417653,-0.10591244857523581,0.34315290735078635,0.3449141074803288
fn167,1.438592830036673,-0.10591244857523556,0.3431529073507856,0.3449141074803279
