coefficient,point_count,mean_equivalent_restoring_offset_nondimensional,minimum_equivalent_restoring_offset_nondimensional,maximum_equivalent_restoring_offset_nondimensional,standard_deviation,relative_standard_deviation,restoring_offset_like,used_for_acceptance
A33,5,0.23723312565607646,0.10062797993546736,0.41360032474222524,0.11096397682966667,0.46774233793359143,False,False
A35,5,1.1271996521563794,0.9966792135421679,1.280561306473623,0.10140703594874677,0.08996368633963905,True,False
A53,5,0.035070162268130964,0.010242461024246783,0.05335743137838464,0.015640783367913087,0.4459854861329289,False,False
A55,5,1.5820806743224614,1.5417710087736962,1.6286402989927344,0.03423753768024176,0.021640829216818702,True,False
