frequency_index,term,F3_real,F3_imag,M5_real,M5_imag
0,rigid_inertia,-705.1620831733535,-1793.1645048445175,991.8474224747979,-670.3537524916397
0,added_inertia,-1329.8299286368456,-2917.91008875166,691.8770066676245,-181.06046371401266
0,radiation_damping,347.63243846373274,1268.919972865773,-618.9560147207161,219.62995245361648
0,restoring,629.0656988093508,103.03472842700899,-48.323220080840514,267.4671782097573
1,rigid_inertia,-1066.242740844385,-2004.2401995151952,917.5660509395059,-887.2265183681469
1,added_inertia,-1931.9382128768814,-3435.1988381967003,846.8781928304636,-329.67706270815194
1,radiation_damping,780.1213042821538,1553.0055710505887,-927.135323919827,425.3868026982673
1,restoring,1025.2597402063102,76.31485989725081,-2.8523011266507865,477.38664353248305
2,rigid_inertia,-1698.5961193409646,-1947.0961885096167,693.1192981513685,-1215.2897827545153
2,added_inertia,-3081.213495832464,-3531.6842133171626,1015.2435989725104,-814.4754245224501
2,radiation_damping,1819.4039128661452,1679.1444924115665,-1292.4077454371786,941.475781660023
2,restoring,1730.2365827792373,-280.1295782234947,218.55494614804496,840.8930098473377
3,rigid_inertia,-2109.2548766705854,-1632.3907869215693,421.93137152661785,-1380.8738301298126
3,added_inertia,-3875.8690419799236,-3059.9754193899585,949.8352766936159,-1299.117630547882
3,radiation_damping,2635.72336384937,1369.4773828931625,-1350.964615303855,1420.7804734639494
3,restoring,2134.92625453625,-829.1860197151473,516.5350908100772,1046.9654203384173
4,rigid_inertia,-2365.577416367672,-1004.4630747927562,14.611087326578176,-1402.8678570375496
4,added_inertia,-4427.712691647132,-1975.3326029295515,556.8740017295996,-1857.5950040176617
4,radiation_damping,3349.636397596875,511.46518656247326,-1112.1477863086302,1962.8659626273288
4,restoring,2264.7983651262107,-1722.533436015824,987.1709995630256,1119.2622638109315
5,rigid_inertia,-2188.129130573363,-258.83123328454064,-370.2155015977433,-1161.244849739582
5,added_inertia,-4185.020679144652,-602.5731095323357,-187.321056072053,-2164.108032381833
5,radiation_damping,3421.152395941457,-707.4923691276731,-557.9723082407156,2260.574214825511
5,restoring,1826.459757813213,-2634.51730487644,1478.0897763362668,918.3254808883186
6,rigid_inertia,-1666.0601892399939,201.44203639183718,-526.0868552568414,-780.8551901563292
6,added_inertia,-3257.219640223345,291.8166391514731,-931.7052663655641,-2049.6116984529335
6,radiation_damping,2812.079660070769,-1603.602176233681,-23.954119072006733,2155.2709926244966
6,restoring,1054.193631010945,-3085.4199243957337,1768.4516057252472,557.6715815092302
7,rigid_inertia,-1153.9401930020024,319.47779730428283,-489.124070548176,-471.1398491915111
7,added_inertia,-2300.351867830386,551.3453980139828,-1433.871895955699,-1750.2651312697208
7,radiation_damping,2064.3571280536316,-1934.843845803227,255.62284213935976,1870.329273651134
7,restoring,413.3457732914303,-3109.794592362381,1887.5116823476767,258.6748041312772
