frequency_index,omega_e_rad_s,i,j,A,B,C,M
0,24.394999999999996,3,3,54.818827348583454,178.69002104597587,4514.819046847233,32.60032733
0,24.394999999999996,3,5,-1.6094891901185464,-302.6394373828535,-3091.2759860029832,0.0
0,24.394999999999996,5,3,-4.115751086976412,268.8826157269003,2007.0379031017178,0.0
0,24.394999999999996,5,5,6.734793824555913,5.118796795226973,806.2655863344758,11.080492655866367
1,19.842,3,3,56.96044968157316,153.77043514928374,4514.819046847233,32.60032733
1,19.842,3,5,-0.8327707629560172,-311.3840288054737,-3091.2759860029832,0.0
1,19.842,5,3,-5.254316245415439,285.2465977458608,2007.0379031017178,0.0
1,19.842,5,5,8.151610909739903,10.734251166398764,806.2655863344758,11.080492655866367
2,15.738999999999999,3,3,59.134225959375044,117.16996548104993,4514.819046847233,32.60032733
2,15.738999999999999,3,5,-0.0016681621731041703,-324.8930608961927,-3091.2759860029832,0.0
2,15.738999999999999,5,3,-6.391293988972418,306.6021558222406,2007.0379031017178,0.0
2,15.738999999999999,5,5,10.906473195664422,18.49955581660735,806.2655863344758,11.080492655866367
3,13.855,3,3,60.135427697459974,97.69840230836556,4514.819046847233,32.60032733
3,13.855,3,5,0.3917774698007095,-332.2845315298723,-3091.2759860029832,0.0
3,13.855,5,3,-6.91102845334841,317.55045162539517,2007.0379031017178,0.0
3,13.855,5,5,13.201293586616629,22.604052565181682,806.2655863344758,11.080492655866367
4,12.101749999999997,3,3,61.032491106685875,79.13174388235807,4514.819046847233,32.60032733
4,12.101749999999997,3,5,0.7490390385060091,-339.43326760070624,-3091.2759860029832,0.0
4,12.101749999999997,5,3,-7.375110923361428,327.84043488924044,2007.0379031017178,0.0
4,12.101749999999997,5,5,16.4669640373172,26.520637183148704,806.2655863344758,11.080492655866367
5,10.457749999999999,3,3,61.82068233566404,62.04548578200162,4514.819046847233,32.60032733
5,10.457749999999999,3,5,1.0662704478642901,-346.0866452653397,-3091.2759860029832,0.0
5,10.457749999999999,5,3,-7.781806327676332,337.2144042800071,2007.0379031017178,0.0
5,10.457749999999999,5,5,21.239257966412342,30.131549687576484,806.2655863344758,11.080492655866367
6,8.924499999999998,3,3,62.49151993933685,46.986705951169135,4514.819046847233,32.60032733
6,8.924499999999998,3,5,1.3385235100926605,-352.00310036628235,-3091.2759860029832,0.0
6,8.924499999999998,5,3,-8.127256762790374,345.4158115138682,2007.0379031017178,0.0
6,8.924499999999998,5,5,28.371779025727346,33.32074656466797,806.2655863344758,11.080492655866367
7,7.516249999999999,3,3,63.039542516174976,34.358532196019056,4514.819046847233,32.60032733
7,7.516249999999999,3,5,1.5623715135018026,-356.99913673281327,-3091.2759860029832,0.0
7,7.516249999999999,5,3,-8.409035017388556,352.25705508874074,2007.0379031017178,0.0
7,7.516249999999999,5,5,39.22548298818164,36.00057050037159,806.2655863344758,11.080492655866367
