panel_index,kinematic_residual,scaled_kinematic_residual
0,0.3152177171583551,0.3152177171583551
1,0.15386200342163736,0.14837198743256053
2,-0.08914319587982322,-0.07623288451091742
3,-0.2968355248264196,-0.25303705057782067
4,-0.2959301906453068,-0.29200310525105444
5,-0.15687417073987908,-0.15687417073987908
6,-0.024031263298687322,-0.024031263298687322
7,0.06312052006136881,0.06312052006136881
8,0.08139523859323478,0.08139523859323478
9,0.03190702991037375,0.03190702991037375
10,-0.0170715058282791,-0.0170715058282791
11,-0.04623558331661298,-0.04623558331661298
12,-0.05446753897363216,-0.05446753897363216
13,-0.04073040001928363,-0.04073040001928363
14,-0.01762772503171156,-0.01762772503171156
15,-3.706021621807665e-05,-3.706021621807665e-05
16,0.010124429964798454,0.010124429964798454
17,0.011679117788056859,0.011679117788056859
18,0.005417629992946926,0.005417629992946926
19,-0.0016165181032000708,-0.0016165181032000708
20,-0.007578638194024767,-0.007578638194024767
21,-0.01250599133683633,-0.01250599133683633
22,-0.0163515466400041,-0.0163515466400041
23,-0.017522807336585733,-0.017522807336585733
24,-0.014242256929721642,-0.014242256929721642
25,-0.006185812420757719,-0.006185812420757719
26,0.006902062714835844,0.006902062714835844
27,0.022154630339993986,0.022154630339993986
28,0.026789521667836602,0.026789521667836602
29,0.016796921262654196,0.016796921262654196
30,-0.008730562885451931,-0.008730562885451931
31,-0.04937796669052524,-0.04937796669052524
32,-0.07251306732139595,-0.07251306732139595
33,-0.04220628781333935,-0.04220628781333935
34,0.04195215136182184,0.04195215136182184
35,0.3215653438577942,0.3215653438577942
