outer_iteration,krylov_iteration,preconditioned_relative_residual,gmres_info
1,1,0.9998885635270369,1
1,2,0.9992575314007452,1
1,3,0.9979210136705484,1
1,4,0.9979039171039701,1
1,5,0.9978133644229322,1
1,6,0.9976537070407738,1
1,7,0.9976419340041222,1
1,8,0.9972643513567157,1
1,9,0.9972609392635143,1
1,10,0.9967937038489664,1
1,11,0.9967922195822913,1
1,12,0.9963876511443275,1
1,13,0.9963720695191318,1
1,14,0.9961363344297913,1
1,15,0.9959658058977787,1
1,16,0.9959248648996255,1
1,17,0.9952373373405016,1
1,18,0.9952331646953938,1
1,19,0.9944936470484343,1
1,20,0.9944930470856359,1
1,21,0.9938061557451496,1
1,22,0.9937851991348465,1
1,23,0.993507213864218,1
1,24,0.9934023870311816,1
1,25,0.9933901529080602,1
1,26,0.9932949982998216,1
1,27,0.9929527896240075,1
1,28,0.9929200946835387,1
1,29,0.9919371518924373,1
1,30,0.9919365502747931,1
1,31,0.9907034667936344,1
1,32,0.9906648270730323,1
