panel_count,shape_mode,value,source_signed_root_defect,finite_difference_step
320,0,-1.30665549166261,-0.0009307075247480396,2.383164791418585e-05
320,1,-2.8011293156806194,-0.0009307075247480396,1.1030661373771934e-05
320,2,-4.016534593794988,-0.0009307075247480396,7.571148306691516e-06
320,3,-4.775687883778292,-0.0009307075247480396,6.199447415304198e-06
320,4,-5.151695571286917,-0.0009307075247480396,5.523450356769007e-06
320,5,-5.247842372481094,-0.0009307075247480396,5.138887247784545e-06
320,6,-5.143701989468965,-0.0009307075247480396,4.896605020360281e-06
320,7,-4.897582028432743,-0.0009307075247480396,4.731903815715745e-06
320,8,-4.552794035800887,-0.0009307075247480396,4.6131984386998624e-06
320,9,-4.144008196182529,-0.0009307075247480396,4.523612019056852e-06
320,10,-3.69894807043463,-0.0009307075247480396,4.453460436369124e-06
320,11,-3.240932083787436,-0.0009307075247480396,4.396857322230446e-06
320,12,-2.7885785211621537,-0.0009307075247480396,4.350050914587547e-06
320,13,-2.3571940136054645,-0.0009307075247480396,4.310553209550123e-06
320,14,-1.9581616306823624,-0.0009307075247480396,4.276657861851593e-06
320,15,-1.6000717910100573,-0.0009307075247480396,4.2471603878778405e-06
320,16,-1.2882181791157628,-0.0009307075247480396,4.221189061235899e-06
320,17,-1.0254120082614335,-0.0009307075247480396,4.198099054035488e-06
320,18,-0.8123069519069892,-0.0009307075247480396,4.1774041034590455e-06
320,19,-0.6474477801252077,-0.0009307075247480396,4.158731193328819e-06
320,20,-0.5282081328523126,-0.0009307075247480396,4.1417897712324734e-06
320,21,-0.45038299678150034,-0.0009307075247480396,4.126350388255113e-06
320,22,-0.409482516354345,-0.0009307075247480396,4.112229590555284e-06
320,23,-0.39994710338874356,-0.0009307075247480396,4.09927904630843e-06
320,24,-0.4166762329251767,-0.0009307075247480396,4.087377596222839e-06
320,25,-0.4538993043023203,-0.0009307075247480396,4.076425356768718e-06
320,26,-0.506852274064359,-0.0009307075247480396,4.066339287368298e-06
320,27,-0.5703630918616495,-0.0009307075247480396,4.057049816815849e-06
320,28,-0.64060493241595,-0.0009307075247480396,4.048498246440138e-06
320,29,-0.7134609242793961,-0.0009307075247480396,4.040634730044412e-06
320,30,-0.7863581295482928,-0.0009307075247480396,4.033416687117023e-06
320,31,-0.8564159822777649,-0.0009307075247480396,4.026807545080431e-06
