xi,eta,node_index
4.55587702062553,-0.05637970939691677,0
4.552983039466014,-0.057251716200181185,1
4.549986683880872,-0.058203463471234285,2
4.546885636647734,-0.059238814866715624,3
4.543675567289225,-0.06035602015083643,4
4.540351458830631,-0.06155224933340439,5
4.536907741106046,-0.06282399391281701,6
4.533346684079582,-0.06418911891703598,7
4.5296763975679815,-0.06567868517283967,8
4.525902161164705,-0.06731328565685059,9
4.522018867633311,-0.06908833163454467,10
4.51802180901924,-0.07100162696881163,11
4.513920830038706,-0.07308098302940057,12
4.5097339844999,-0.07536589401840778,13
4.505475460883468,-0.0778827718848522,14
4.501159740131312,-0.08065415805309532,15
4.496801177659251,-0.08369870829689915,16
4.492430741951213,-0.08705390524576768,17
4.488080636423689,-0.09075056493251195,18
4.483787935063349,-0.09481737416952801,19
4.479606816339302,-0.09929146172125203,20
4.475594684142066,-0.1042005030027886,21
4.471819533735019,-0.1095684356343531,22
4.468363054801612,-0.11541403471275113,23
4.465379459567194,-0.12177499497326474,24
4.4630204723723095,-0.1286486807719072,25
4.461421315993122,-0.13599141570824425,26
4.460749729075068,-0.14373139186057116,27
4.461113827777279,-0.15175339797811674,28
4.462459340421946,-0.15994170127130666,29
4.464682717026623,-0.1682210140965568,30
4.467731412243243,-0.1765339996964491,31
4.471531366823165,-0.1848501472560814,32
4.4759884316825005,-0.19317057644485028,33
4.481059911113947,-0.20148864169725575,34
4.486741396796808,-0.20978179880588313,35
4.493026682648695,-0.21803076760019235,36
4.499890161078535,-0.22623432358594223,37
4.507325990676492,-0.2343798650639705,38
4.515335312204522,-0.24244988419274763,39
4.523913484114683,-0.2504333130362776,40
4.533062933561384,-0.2583128235205162,41
4.542777410362982,-0.26608183259199597,42
4.55304529182794,-0.2737432749786064,43
4.563858152310941,-0.28129959469368027,44
4.575206414741308,-0.2887581355558958,45
4.587087550770277,-0.2961187880574567,46
4.599493210184213,-0.3033932893854961,47
4.612412198661805,-0.3106022384114246,48
4.625839641860784,-0.31775887376172496,49
4.639776557752805,-0.32486783974076056,50
4.654220364280701,-0.33194257761022916,51
4.669169553892657,-0.33899666214632723,52
4.684627182320162,-0.34603578169294785,53
4.700597390909772,-0.3530642218510591,54
4.717084764228369,-0.3600860760619921,55
4.734093954234947,-0.3671060259772438,56
4.751630324513902,-0.3741277106652753,57
4.769701199774131,-0.38115031493372786,58
4.788313798611224,-0.38817343952776207,59
4.80747604415909,-0.3951949068124333,60
4.827197932016841,-0.4022067078444576,61
4.847487797746834,-0.40920504805032276,62
4.868354576494636,-0.4161841588075878,63
4.889806816596631,-0.42313907290036246,64
4.911850973303931,-0.4300711310963262,65
4.934493617265679,-0.4369815549745178,66
4.957739746017965,-0.44387704423068175,67
4.981594209777333,-0.4507654197429892,68
5.006062597077618,-0.45765248896949984,69
5.031150231907495,-0.46454537026658316,70
5.056863175333379,-0.4714488200371953,71
5.083207053401508,-0.47836937333786417,72
5.110187549770218,-0.4853135253656233,73
5.1378099584167725,-0.49228941025767614,74
5.166079547777375,-0.49930537525767404,75
5.195002514511263,-0.5063659986528526,76
5.224586058041137,-0.5134714554451925,77
5.254838087916429,-0.5206184254828239,78
5.285766422334839,-0.5278032781923248,79
5.317378405875322,-0.5350236988797643,80
5.349680914083263,-0.5422787326180274,81
5.382680696931336,-0.5495672914452416,82
5.416385094209012,-0.5568848224584966,83
5.450801595371072,-0.5642250949916557,84
5.485937188380885,-0.5715831593773694,85
5.52179760956021,-0.5789590587632569,86
5.558387575995132,-0.5863570150678369,87
5.59571159931598,-0.5937815809721282,88
5.633774697249981,-0.6012339681320068,89
5.672582091263635,-0.6087133519631971,90
5.712137261269057,-0.6162269512931,91
5.752441673965392,-0.623791884504351,92
5.793499067609624,-0.6314124491144736,93
5.8353152577786265,-0.6390805014370357,94
5.877892987399937,-0.6468032269340515,95
5.9212341643341695,-0.6545913353244147,96
5.9653407588249205,-0.6624540542776002,97
6.01021839209684,-0.6703787190022477,98
6.055870035554438,-0.6783659272379138,99
6.102297944190193,-0.6864188591454531,100
6.149505129199562,-0.6945347645281564,101
6.197493704435324,-0.7027144204338134,102
6.246266452856593,-0.7109529533053514,103
6.295827356183763,-0.7192364353278352,104
6.346177060638825,-0.7275688687248075,105
6.39731490259708,-0.735960517833263,106
6.449243561757896,-0.7443994732140434,107
6.50196464285762,-0.7528782220341,108
6.555476384758363,-0.7614081720255819,109
6.609778402213936,-0.7699903155695499,110
6.664870489556233,-0.7786224543900379,111
6.720750150232956,-0.7873149581749521,112
6.777416071620227,-0.796068614569986,113
6.834867280255509,-0.8048798283909956,114
6.893100045108337,-0.8137608001384629,115
6.95211106764008,-0.8227188367940376,116
7.011898458956553,-0.8317497366645361,117
7.072459168622325,-0.8408546516076512,118
7.1337899358871155,-0.8500338217644842,119
7.195886889533995,-0.8592892317747879,120
7.25874473346519,-0.8686301091581656,121
7.322360478096808,-0.8780478082676728,122
7.386732027404677,-0.8875251122295299,123
7.451853222392606,-0.8970698563586277,124
7.51771770760101,-0.9066888991234562,125
7.584321686974174,-0.916369140441512,126
7.651659914052047,-0.9261048744333322,127
7.719726307987862,-0.9358936523350382,128
7.788514561561712,-0.945732109026755,129
7.858015952767986,-0.9556313253629443,130
7.928223088127949,-0.9655906952547666,131
7.999130419441578,-0.9755940693583438,132
8.070728571231612,-0.9856498522769329,133
8.143006883699506,-0.9957732824083088,134
8.215957040729377,-1.005960510455503,135
8.289569835320952,-1.0162116160428618,136
8.363835734264315,-1.026526610236422,137
8.43874526002035,-1.0369027036151945,138
8.514286262872515,-1.047354037204714,139
8.590447956954515,-1.0578825894999468,140
8.667222191948946,-1.0684689228052748,141
8.74459749362163,-1.0791153389119115,142
8.822561046823385,-1.0898316525540879,143
8.901102150989646,-1.1006100832611503,144
8.980209328912101,-1.111446290580899,145
9.059871350924634,-1.122331944669442,146
9.140076925785575,-1.1332569940845687,147
9.220811557260662,-1.1442328197587697,148
9.30206216215121,-1.1552584334389293,149
9.383818112943242,-1.166312710895318,150
9.466065317996879,-1.1773980944234959,151
9.548788540284693,-1.1885236847212737,152
9.63197393959277,-1.199686400050634,153
9.715606683499317,-1.2108887615602035,154
