reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,0.5,320,0.012372899957051181,1.753778569650696e-07,1.753778569650696e-07,253161.46673616435
1,0.5,640,0.012097357511941324,1.838009207766055e-09,1.838009207766055e-09,570627.4702694863
1,0.5,1280,0.012129428092310315,3.872477094800044e-09,3.872477094800044e-09,1376982.368668431
1,0.25,320,0.012419002356289963,4.350374387682525e-08,4.350374387682525e-08,253153.47822407642
1,0.25,640,0.012138183254778044,1.7951572746211058e-09,1.7951572746211058e-09,570606.4104736334
1,0.25,1280,0.01216743551697504,2.6876552410959193e-09,2.6876552410959193e-09,1376919.4773250513
2,0.5,320,0.012296053596680923,1.7888685522281144e-07,1.7888685522281144e-07,253172.53903605486
2,0.5,640,0.012030937836618285,1.8996184790960086e-09,1.8996184790960086e-09,570672.2816717327
2,0.5,1280,0.012068747300926531,3.982683896589867e-09,3.982683896589867e-09,1377106.6818016279
2,0.25,320,0.01233312622631125,4.4417184996337935e-08,4.4417184996337935e-08,253166.25332148408
2,0.25,640,0.012062832997985098,1.8599326029851257e-09,1.8599326029851257e-09,570648.6858682196
2,0.25,1280,0.012097771711573873,3.951883594348812e-09,3.951883594348812e-09,1377043.5745089091
3,0.5,320,0.01223721711799428,1.8242252984125507e-07,1.8242252984125507e-07,253184.9388267686
3,0.5,640,0.011982780762081932,1.979582779440315e-09,1.979582779440315e-09,570711.6641518298
3,0.5,1280,0.012026218871063851,4.172481470900642e-09,4.172481470900642e-09,1377227.965708118
3,0.25,320,0.012265156354443495,4.538920034936218e-08,4.538920034936218e-08,253182.02246775822
3,0.25,640,0.012005502502469258,1.947935094891269e-09,1.947935094891269e-09,570692.0392275299
3,0.25,1280,0.012046154889531648,6.997557424924402e-09,6.997557424924402e-09,1377166.7392403283
4,0.5,320,0.012196608332896475,1.858614701997442e-07,1.858614701997442e-07,253197.08999387332
4,0.5,640,0.011952839630757479,2.050351680169832e-09,2.050351680169832e-09,570753.0146286567
4,0.5,1280,0.012001916193327244,4.339957085271668e-09,4.339957085271668e-09,1377349.727814743
4,0.25,320,0.012215472998476534,4.6208516772009014e-08,4.6208516772009014e-08,253192.38576230456
4,0.25,640,0.011966438077111742,2.0112413457640405e-09,2.0112413457640405e-09,570732.3812033077
4,0.25,1280,0.0120126908756316,4.264993101407011e-09,4.264993101407011e-09,1377289.3425076725
