scope,metric,eligible_point_count,median_relative_error,nrmse,median_limit,nrmse_limit,status
faltinsen_ch9,heave_motion,7,0.6362782942463651,3.773826246640742,0.15,0.2,FAIL
faltinsen_ch9,pitch_motion,7,0.6988426484672126,3.6085205689167297,0.15,0.2,FAIL
matched_delta_added_only,heave_motion,7,0.3629917606867984,0.9883133651146002,0.15,0.2,FAIL
matched_delta_added_only,pitch_motion,7,0.6439546924979548,0.7865771294109564,0.15,0.2,FAIL
matched_delta_damping_only,heave_motion,7,0.6981691363842258,2.0269984329381043,0.15,0.2,FAIL
matched_delta_damping_only,pitch_motion,7,0.7183612895994287,2.6434053711400782,0.15,0.2,FAIL
matched_delta_added_and_damping,heave_motion,7,0.5042006641704584,0.7972582213524249,0.15,0.2,FAIL
matched_delta_added_and_damping,pitch_motion,7,0.7194522521710834,1.0026267168961775,0.15,0.2,FAIL
matched_raw_added_only,heave_motion,7,0.5128345730869989,0.5568693479169683,0.15,0.2,FAIL
matched_raw_added_only,pitch_motion,7,0.702724276708199,0.6015440195146344,0.15,0.2,FAIL
matched_raw_damping_only,heave_motion,7,0.4922220828251449,1.3127778436891004,0.15,0.2,FAIL
matched_raw_damping_only,pitch_motion,7,0.7331136551288032,1.028373903877419,0.15,0.2,FAIL
matched_raw_added_and_damping,heave_motion,7,0.49705418680726676,1.1739842737661013,0.15,0.2,FAIL
matched_raw_added_and_damping,pitch_motion,7,0.6736969079522656,0.9735498840882507,0.15,0.2,FAIL
