omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
7.516249999999999,83.99628158553662,-3550.703313377303,238.72342636184558,-92.43548233197879
8.707904702227681,98.71245705581248,-3492.7481311662273,282.3153309168472,-86.10930804408089
10.088488847906737,114.73136378655451,-3415.7865594610503,331.6880036137174,-77.28839123476085
11.687956025552452,131.3792383009209,-3313.831960415592,386.5892653979815,-65.17171145517075
13.54100877889088,147.36460880010856,-3179.4157762926206,446.06241852096554,-48.83137178885402
15.687851524178978,160.46254891959384,-3003.596847460906,508.03409464949,-27.31415017746988
18.175062837884298,167.13540688807913,-2776.361859745343,568.7668945086928,0.11596651376951006
21.05660604015252,162.19209202787394,-2487.771299618818,622.2211350081425,33.49713125446874
24.394999999999996,138.76243214630404,-2130.360879849523,659.5005771762009,71.33938554458014
43.910999999999994,-223.4105304144573,-237.12954842108445,414.5379496009078,119.79697252009784
