frequency_index,term,F3_real,F3_imag,M5_real,M5_imag
0,rigid_inertia,433.55457531703394,-401.0305725216019,402.5258265137354,364.2183465567239
0,added_inertia,779.6732086055505,-773.4268901543643,253.56576025457798,260.76983181184005
0,radiation_damping,-495.07193183928933,446.5974267587404,-171.09718969373904,-179.21533215005414
0,restoring,87.8066492940769,264.065606996672,-94.06792204263238,-3.045966967805448
1,rigid_inertia,406.0917587466379,-842.8115577248005,620.8102812775124,230.1925109184712
1,added_inertia,771.3821441291169,-1606.17094156293,483.9130881503148,240.2335873768844
1,radiation_damping,-468.38199542422075,893.4948990867218,-440.62672644160546,-217.31269906272496
1,restoring,297.0657422610782,459.5850255716904,-178.239870124579,89.24916030629464
2,rigid_inertia,56.04454068852528,-1357.9650009670238,820.3775225110796,-85.79578710629706
2,added_inertia,170.78929011580843,-2656.547871488358,878.3163441954038,23.038546705228953
2,radiation_damping,-28.006038762815166,1618.2149066186346,-929.0938367219518,-73.87399703653963
2,restoring,892.5954622313546,662.5686730408613,-254.9073986563376,362.69720077823786
3,rigid_inertia,-352.0512253223205,-1513.0851950356482,818.2010988748887,-353.93177063299606
3,added_inertia,-601.7732529494286,-3028.6691982780567,1099.3742983148675,-314.75561814832633
3,radiation_damping,596.7547968389399,1927.3384651526308,-1218.343173581651,217.42474989490725
3,restoring,1443.1068913130143,577.231694584875,-197.2374632455202,619.4313192104341
4,rigid_inertia,-866.1153197289613,-1395.0246848646063,646.027994105479,-633.4069145208982
4,added_inertia,-1631.8131344605367,-2880.5847757308034,1139.04502188441,-876.3465296607903
4,radiation_damping,1506.2968849464646,1845.9321888845404,-1350.8527108143549,723.4179568912596
4,restoring,2049.6736798510033,112.57450087084499,43.11645457028078,901.1403591128612
5,rigid_inertia,-1207.3438455082278,-939.0136976252905,313.0259305291489,-756.4227565401919
5,added_inertia,-2376.4016365069956,-2031.8601897018577,791.4914443052551,-1462.9009674480058
5,radiation_damping,2266.6568466567323,1137.8788604702809,-1133.2189315080536,1254.0149499896872
5,restoring,2327.392025758859,-740.510279104933,471.386160744217,1031.8793292004962
6,rigid_inertia,-1172.589912570727,-429.33602609693423,14.257750587125951,-655.1840070464402
6,added_inertia,-2380.6092701212306,-1011.8657501975306,185.65836033202666,-1752.7260792486202
6,radiation_damping,2410.560190527208,185.8829898346192,-692.8073389666674,1501.8628625686488
6,restoring,2088.845427752127,-1548.4240419895889,893.3577400379882,930.4357613941081
7,rigid_inertia,-930.252069695987,-121.43316412218104,-132.10047230053854,-469.17830575668887
7,added_inertia,-1935.3066943025162,-359.40095128356893,-375.25754581865664,-1751.6266339616411
7,radiation_damping,2107.629862509311,-504.6648592211589,-322.84143694271677,1473.1597822540568
7,restoring,1628.0792604011413,-2019.2543871954995,1183.8979398389083,736.6358117209936
