frequency_index,omega_e_rad_s,i,j,A,B,C,M
0,24.394999999999996,3,3,60.772888498991996,91.2009765884403,4514.819046847233,32.60032733
0,24.394999999999996,3,5,-0.7859266725100708,-333.2917784816009,-3091.2759860029832,0.0
0,24.394999999999996,5,3,-1.2876730388437578,334.0804570500465,2007.0379031017178,0.0
0,24.394999999999996,5,5,7.451411563608245,-1.954635667149759,806.2655863344758,11.080492655866367
1,19.842,3,3,62.09675743359198,89.26103452566063,4514.819046847233,32.60032733
1,19.842,3,5,-0.03814437684648697,-336.27563300186506,-3091.2759860029832,0.0
1,19.842,5,3,-1.995348519601857,339.3884580214629,2007.0379031017178,0.0
1,19.842,5,5,9.080722093557766,1.504017392148607,806.2655863344758,11.080492655866367
2,15.738999999999999,3,3,63.62088865833868,74.84879509390048,4514.819046847233,32.60032733
2,15.738999999999999,3,5,0.8295206217920948,-345.73813148004183,-3091.2759860029832,0.0
2,15.738999999999999,5,3,-2.77017915562239,349.6408739665687,2007.0379031017178,0.0
2,15.738999999999999,5,5,11.92737058489993,7.585578656524219,806.2655863344758,11.080492655866367
3,13.855,3,3,64.38306798274824,64.26757102263903,4514.819046847233,32.60032733
3,13.855,3,5,1.2662252119205772,-352.23038182451677,-3091.2759860029832,0.0
3,13.855,5,3,-3.147803146054089,355.94394272372443,2007.0379031017178,0.0
3,13.855,5,5,14.427929709510183,11.259535414998787,806.2655863344758,11.080492655866367
4,12.101749999999997,3,3,65.08560156746785,53.36630348788488,4514.819046847233,32.60032733
4,12.101749999999997,3,5,1.6699055674139522,-358.8344477848647,-3091.2759860029832,0.0
4,12.101749999999997,5,3,-3.4927987103110616,362.1605202771757,2007.0379031017178,0.0
4,12.101749999999997,5,5,17.944979627134707,14.87301960738794,806.2655863344758,11.080492655866367
5,10.457749999999999,3,3,65.71896644862933,42.69916815087161,4514.819046847233,32.60032733
5,10.457749999999999,3,5,2.0347332549597112,-365.2472480319059,-3091.2759860029832,0.0
5,10.457749999999999,5,3,-3.8016550126366426,368.06418366569096,2007.0379031017178,0.0
5,10.457749999999999,5,5,23.033417637581543,18.299969319365395,806.2655863344758,11.080492655866367
6,8.924499999999998,3,3,66.26982851837623,32.843738446191246,4514.819046847233,32.60032733
6,8.924499999999998,3,5,2.352683720992024,-371.14444633679364,-3091.2759860029832,0.0
6,8.924499999999998,5,3,-4.06883210311365,373.40596904363963,2007.0379031017178,0.0
6,8.924499999999998,5,5,30.54839409717832,21.399136733110133,806.2655863344758,11.080492655866367
7,7.516249999999999,3,3,66.72837715025884,24.269984393618536,4514.819046847233,32.60032733
7,7.516249999999999,3,5,2.6177811551862584,-376.26002089633516,-3091.2759860029832,0.0
7,7.516249999999999,5,3,-4.290334374847779,377.98578737975424,2007.0379031017178,0.0
7,7.516249999999999,5,5,41.7452473866911,24.055967162615353,806.2655863344758,11.080492655866367
