frequency_index,status,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
0,PASS,7.225833225441264e-14,1.1075656803398221e-13,3.0411229090532288e-12,4.888534022029489e-12,0.0
1,PASS,9.831851104544146e-13,1.0570018275183337e-12,8.384404281969182e-12,4.5417891669785604e-11,0.0
2,PASS,2.988975778230677e-12,2.6535261585744606e-12,7.003109203651547e-11,1.7482193470641505e-10,0.0
3,PASS,1.4454561768743434e-12,1.1819651010530214e-12,9.953282642527483e-11,1.1056044968427159e-10,0.0
4,PASS,2.936338433374444e-11,2.128503361059859e-11,3.240074875066057e-11,4.2933834265568294e-10,0.0
5,PASS,5.196892310914981e-11,7.595333259512268e-11,7.355509978879127e-09,8.315907962241909e-09,0.0
6,PASS,7.257835306528722e-11,1.5318910777942003e-10,1.5305516853914014e-08,1.5651124840587727e-08,0.0
7,PASS,9.148498930999554e-10,9.213194310399415e-10,5.1558060931711225e-08,4.447559831532999e-08,0.0
