xi,eta
4.547302447585761,-0.01614641327360216
4.543361843046381,-0.01732529030183995
4.539266316607775,-0.018574357689181913
4.53501121425415,-0.01989588405511325
4.53058939537189,-0.021284546354433886
4.525996536817842,-0.022744456189932656
4.5212399806343795,-0.02431570504246811
4.516327686775435,-0.026036542125597893
4.511249265407643,-0.02789060812496678
4.505994048377597,-0.029863460389600457
4.500574387079448,-0.03200164585645553
4.495006967160987,-0.03435653248154612
4.489295207402677,-0.036942112313113555
4.483445438249702,-0.039777089474762876
4.477481009612658,-0.042910620423220795
4.471437030333164,-0.0464033269420519
4.465364328807004,-0.0503269697535896
4.459327848564261,-0.054753779585180996
4.453401435311077,-0.059744385759253685
4.447690537156202,-0.06537000842830036
4.442361121492051,-0.0717217643118294
4.437599496810422,-0.07885083131216677
4.433564781551019,-0.08674021925481988
4.430433044677832,-0.09534406694027754
4.428404935777607,-0.1045816925394122
4.427619756849594,-0.11431600701169801
4.428065514516571,-0.12438711893027916
4.429739406455206,-0.13465438562170157
4.432631320665819,-0.14498888040402755
4.436681758979204,-0.1552880446284079
4.441777657676887,-0.16549620065290402
4.447828618975128,-0.17557849851067991
4.454787007388392,-0.1854957078193581
4.462598033111445,-0.19522646064742005
4.471194338206245,-0.20477496468271505
4.4805184764263135,-0.2141535674249798
4.490536463864611,-0.2233642730267713
4.5012198724525065,-0.23241132834489475
4.512547445066675,-0.24129734769488553
4.524495704870932,-0.25003374551004265
4.537037706615186,-0.2586435979920492
4.550155895096338,-0.2671431217489523
4.563851577367248,-0.2755229849443387
4.578120405891407,-0.28378393070899843
4.592945900442571,-0.29195070749680163
4.60831818778006,-0.3000407763496436
4.624240356163239,-0.3080493944871794
4.640713041793531,-0.31597713718207643
4.657733996377911,-0.3238317264184946
4.6753019411632355,-0.33162039815714134
4.6934145464226384,-0.3393543125349346
4.712071184511731,-0.34704223246166316
4.731278251585142,-0.3546765514277864
4.751039889770422,-0.362254968842769
4.771353732825477,-0.36979274875352813
4.792219587775007,-0.377300834831598
4.813642207395501,-0.3847771136079688
4.835625263049394,-0.39222248015729977
4.85817235383134,-0.39963810979330466
4.881286700627635,-0.40702640573799054
4.904968002925328,-0.4144011967710254
4.9292176077236896,-0.4217718278482112
4.954043281485681,-0.42912646486664896
4.97945054586962,-0.4364598640352075
5.005439038971999,-0.443786996457984
5.032010382603543,-0.4511164004525141
5.059169834670488,-0.458443340279146
5.086921356150213,-0.4657672641853894
5.115268919293697,-0.4730871039769099
5.144216374159414,-0.48040173973015915
5.173764329919147,-0.4877225794284881
5.20391424902024,-0.49505767379154586
5.234672295197491,-0.5023952577435953
5.266042921005872,-0.5097295788693881
5.298026313068365,-0.5170725177826385
5.33062385874664,-0.5244306375856977
5.363838617317187,-0.5318026111265794
5.397672709637926,-0.5391906120166152
5.43212933556736,-0.5465911408406531
5.46721131531187,-0.5540015354437262
5.502917781149631,-0.5614359275243989
5.539248743809577,-0.5689039523641753
5.576208547897993,-0.576393384520258
5.61379999281952,-0.583898311275506
5.652022413349154,-0.5914292442754219
5.69087625621158,-0.5989904620566501
