model_variant,sigma,coefficient,computed_value,reference_value,uncertainty,absolute_error,relative_error,normalized_residual,normalization
sun_2dt_without_stern_3d_correction,0.85,A33,0.8647058520184456,0.944099379,0.0372670807,0.07939352698155433,0.08409445948968719,2.1303929765970193,rho*B^3
sun_2dt_without_stern_3d_correction,1.13,A33,0.9047220676158713,0.99378882,0.0372670807,0.08906675238412876,0.08962341957532663,2.38995785854857,rho*B^3
sun_2dt_without_stern_3d_correction,1.4,A33,0.9212353518108735,1.00621118,0.0372670807,0.08497582818912652,0.08445128605023701,2.2801847258491197,rho*B^3
sun_2dt_without_stern_3d_correction,1.7,A33,0.9218144381457354,1.01242236,0.0372670807,0.09060792185426458,0.08949616823384322,2.431312572714196,rho*B^3
sun_2dt_without_stern_3d_correction,1.95,A33,0.9212412538590583,1.01863354,0.0372670807,0.09739228614094164,0.09561071996602591,2.6133596812948547,rho*B^3
sun_2dt_without_stern_3d_correction,0.85,A35,-0.29656110722495543,1.95652174,0.0372670807,2.253082847224955,1.1515756769587213,60.45772314075985,rho*B^4
sun_2dt_without_stern_3d_correction,1.13,A35,-0.26438369963328695,1.06521739,0.0372670807,1.3296010896332868,1.2481969428167963,35.67762928190098,rho*B^4
sun_2dt_without_stern_3d_correction,1.4,A35,-0.2317686448715006,0.645962733,0.0372670807,0.8777313778715006,1.3587956905735312,23.55245866820742,rho*B^4
sun_2dt_without_stern_3d_correction,1.7,A35,-0.2309293610376501,0.403726708,0.0372670807,0.6346560690376502,1.5719942635988555,17.029937873230036,rho*B^4
sun_2dt_without_stern_3d_correction,1.95,A35,-0.22946532682156087,0.273291925,0.0372670807,0.5027572518215608,1.8396344927555428,13.490652940292176,rho*B^4
sun_2dt_without_stern_3d_correction,0.85,A53,0.3970499346479338,-0.155279503,0.0372670807,0.5523294376479339,3.5570015808714546,14.820839928251578,rho*B^4
sun_2dt_without_stern_3d_correction,1.13,A53,0.127460812981901,-0.189440994,0.0372670807,0.316901806981901,1.6728259300724584,8.503531831026974,rho*B^4
sun_2dt_without_stern_3d_correction,1.4,A53,0.0029607172649614784,-0.208074534,0.0372670807,0.21103525126496148,1.0142291188068284,5.662779249166181,rho*B^4
sun_2dt_without_stern_3d_correction,1.7,A53,-0.06956624466279819,-0.217391304,0.0372670807,0.1478250593372018,0.6799952740391207,3.9666390970409924,rho*B^4
sun_2dt_without_stern_3d_correction,1.95,A53,-0.10421208425515584,-0.220496894,0.0372670807,0.11628480974484416,0.5273761803866687,3.120309065283027,rho*B^4
sun_2dt_without_stern_3d_correction,0.85,A55,-0.15079606159626632,0.649068323,0.0372670807,0.7998643845962663,1.2323269465674824,21.463027679446494,rho*B^5
sun_2dt_without_stern_3d_correction,1.13,A55,0.18680752934798844,0.624223602,0.0372670807,0.4374160726520116,0.7007361965336446,11.737331297109396,rho*B^5
