x_m,free_panels,cumulative_infinity_gain,constant_error,affine_error,smooth_cosine_error
2.999997,128,1.0,0.0,0.0,0.0
2.9812470375,128,1.0,0.0,0.0,5.282299146525116e-05
2.9624970750000004,126,1.0,0.0,0.0,2.0227717039356108e-05
2.9437471125,126,1.0,0.0,0.0,5.9097812264319316e-05
2.9249971500000003,124,1.0,0.0,3.469446951953614e-18,3.238687995099632e-05
2.9062471875000004,124,1.0,0.0,0.0,6.167391571065828e-05
2.887497225,122,1.0,0.0,0.0,3.893865219473103e-05
2.8687472625000003,122,1.0,0.0,0.0,6.244939405475325e-05
2.8499973,120,1.0,0.0,0.0,4.14208332343291e-05
2.8312473375000002,120,1.0,0.0,6.938893903907228e-18,6.243867616539944e-05
2.8124973750000004,118,1.0,0.0,0.0,4.054331945124723e-05
2.7937474125,118,1.0,0.0,0.0,6.186440303856955e-05
2.7749974500000003,116,1.0,0.0,6.938893903907228e-18,3.6271353712757914e-05
2.7562474875,116,1.0,0.0,6.938893903907228e-18,6.02403173692867e-05
2.737497525,114,1.0,0.0,0.0,2.7907859631692844e-05
2.7187475625000004,114,1.0,0.0,0.0,5.645291888378701e-05
2.6999976,112,1.0,0.0,0.0,1.4174143422973629e-05
2.6812476375000003,112,1.0,0.0,1.3877787807814457e-17,4.884122390824697e-05
2.662497675,112,1.0,0.0,0.0,6.18162736819583e-05
2.6437477125,110,1.0,0.0,0.0,3.527408209713645e-05
2.6249977500000004,110,1.0,0.0,0.0,5.7347752365988214e-05
2.6062477875,108,1.0,0.0,0.0,1.3224605736605888e-05
2.5874978250000003,108,1.0,0.0,0.0,4.509668904595365e-05
2.5687478625000004,108,1.0,0.0,0.0,5.991879342848172e-05
2.5499979,106,1.0,0.0,0.0,2.1938503873442095e-05
2.5312479375000003,106,1.0,0.0,1.3877787807814457e-17,4.8324786846243306e-05
2.512497975,106,1.0,0.0,0.0,6.0112259637423726e-05
2.4937480125,104,1.0,0.0,0.0,2.250709520923433e-05
2.4749980500000004,104,1.0,0.0,0.0,4.7004534979189216e-05
2.4562480875,104,1.0,0.0,1.3877787807814457e-17,5.899113627827468e-05
2.4374981250000003,102,1.0,0.0,1.3877787807814457e-17,1.5650491010266165e-05
