iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_angle_deg,accepted_time_step,maximum_displacement_ratio
0,0.0,1.8035268119089989,5.632601274876376,26.255219754297112,,
1,4.7128506822676695e-05,1.8038254372880302,5.633523176853342,24.924277180705246,4.7128506822676695e-05,0.01986516265877555
2,9.401566330101039e-05,1.7984916498973305,5.634456506109686,23.602860322168603,4.68871564783337e-05,0.01988837471990069
3,0.0001410465752846045,1.7931550637673799,5.635377667419535,22.285878362525743,4.7030911983594087e-05,0.019908854672368945
4,0.0001882297704844493,1.7878199938052157,5.636287011193792,20.973199045618625,4.71831951998448e-05,0.019927272002467036
5,0.0002355737166005185,1.782489205615783,5.637184909125303,19.664687018314904,4.7343946116069194e-05,0.01994367554304879
6,0.0002830867566508726,1.777165237810859,5.638071747763039,18.360206862611054,4.751304005035411e-05,0.01995811326608523
7,0.0003307770844060434,1.7718504196067417,5.63894792625071,17.0596240607577,4.769032775517081e-05,0.019970631642969954
8,0.00037865272013890076,1.7665468863888087,5.639813854128603,15.7628058189785,4.787563573285738e-05,0.019981275352708293
9,0.00042672148679680596,1.7612565948248504,5.640669949135236,14.46962175607615,4.806876665790522e-05,0.019990087060067857
10,0.00047499098673887724,1.7559813373107258,5.64151663507419,13.17994446437724,4.826949994207131e-05,0.019997107260187795
11,0.0005234685791895844,1.7507227555662193,5.642354339741438,11.89364995029605,4.8477592450707176e-05,0.020002374185616078
12,0.0005721613585660118,1.7454823532414756,5.643183492924335,10.610617961635262,4.869277937642741e-05,0.02000592377177739
13,0.0005956633794983712,1.7428097316044902,5.643579454241917,10.000267931888743,2.3502020932359368e-05,0.009610744461077611
14,0.0005958548638405288,1.742629020833048,5.643583184361356,9.999298680195993,1.9148434215762557e-07,7.811834092906456e-05
