panel_index,kinematic_residual,scaled_kinematic_residual
0,12.473817041552644,12.473817041552644
1,4.5082804003152965,4.5082804003152965
2,4.36457351479944,4.36457351479944
3,3.3208465583866795,3.3208465583866795
4,2.8019528257162,2.8019528257162
5,2.3981192975731243,2.3981192975731243
6,2.095631476274775,2.095631476274775
7,1.8525071312513997,1.8525071312513997
8,1.6525960926351668,1.6525960926351668
9,1.4839455548178009,1.4839455548178009
10,1.3392456297541087,1.3392456297541087
11,1.2133282600999813,1.2133282600999813
12,1.1025427935019603,1.1025427935019603
13,1.0041895399179726,1.0041895399179726
14,0.9162305278024373,0.9162305278024373
15,0.8370898795807958,0.8370898795807958
16,0.7655264582876949,0.7655264582876949
17,0.7005461153831332,0.7005461153831332
18,0.641340770411493,0.641340770411493
19,0.5872448195212604,0.5872448195212604
20,0.5377033983822517,0.5377033983822517
21,0.49224883688699544,0.49224883688699544
22,0.4504829205872971,0.4504829205872971
23,0.41206333643948123,0.41206333643948123
24,0.3766931865306172,0.3766931865306172
25,0.34411278496164666,0.34411278496164666
26,0.3140931776810344,0.3140931776810344
27,0.28643097908825765,0.28643097908825765
28,0.2609442267979042,0.2609442267979042
29,0.2374690321426416,0.2374690321426416
30,0.2158568586787123,0.2158568586787123
31,0.19597230072699462,0.19597230072699462
32,0.1776912631974213,0.1776912631974213
33,0.16089946568351332,0.16089946568351332
34,0.14549121011852473,0.14549121011852473
35,0.13136836366000404,0.13136836366000404
36,0.11843951794575572,0.11843951794575572
37,0.10661929319125366,0.10661929319125366
38,0.09582776133384213,0.09582776133384213
39,0.08598996694805605,0.08598996694805605
40,0.07703552828257806,0.07703552828257806
41,0.06889830368765404,0.06889830368765404
42,0.0615161111025245,0.0615161111025245
43,0.05483049025553735,0.05483049025553735
44,0.04878649889691075,0.04878649889691075
45,0.04333253579825838,0.04333253579825838
46,0.038420184461713885,0.038420184461713885
47,0.034004072530786494,0.034004072530786494
48,0.030041742799399168,0.030041742799399168
49,0.026493532508945455,0.026493532508945455
50,0.023322458312452526,0.023322458312452526
51,0.020494104877861186,0.020494104877861186
52,0.01797651563199129,0.01797651563199129
53,0.015740084575771626,0.015740084575771626
54,0.013757448487369761,0.013757448487369761
55,0.012003379142081036,0.012003379142081036
56,0.01045467542485072,0.01045467542485072
57,0.009090055430187441,0.009090055430187441
58,0.007890048781667741,0.007890048781667741
59,0.006836889532715454,0.006836889532715454
60,0.005914410069479292,0.005914410069479292
61,0.005107936491661039,0.005107936491661039
62,0.004404185940381118,0.004404185940381118
63,0.0037911663460744177,0.0037911663460744177
64,0.0032580790073256025,0.0032580790073256025
65,0.002795224367977217,0.002795224367977217
66,0.0023939112473905927,0.0023939112473905927
67,0.0020463696515975807,0.0020463696515975807
68,0.0017456670783319514,0.0017456670783319514
69,0.001485627830276691,0.001485627830276691
70,0.0012607542575239702,0.0012607542575239702
71,0.001066146803183298,0.001066146803183298
72,0.0008974181642276979,0.0008974181642276979
73,0.00075057884588196,0.00075057884588196
74,0.0006218731471152698,0.0006218731471152698
75,0.0005073688662147816,0.0005073688662147816
76,0.0004010974238361671,0.0004010974238361671
77,0.0003033836130367333,0.0003033836130367333
78,-3.0657857306933683e-05,-3.0657857306933683e-05
79,0.0032762258856075446,0.0032762258856075446
