outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,tau_mid,s_tau_element,s_tau_element_identity_residual,s_tau_recovered,s_tau_recovered_identity_residual,node_pseudo_tangential_residual_left,node_pseudo_tangential_residual_right,node_pseudo_normal_residual_left,node_pseudo_normal_residual_right,s_nu_left,s_nu_right,k_contribution_linear_exact,s_nu_weak_projected_left,s_nu_weak_projected_right,k_contribution_weak_projected,s_nu_continuous_normal_left,s_nu_continuous_normal_right,k_contribution_continuous_normal_exact
0,4.32610235307371,0.40386363476184683,0.01645377210356797,0.008226886051783984,0.0005226830287575688,0.06167415227289652,6.258523036798258e-05,0.027838326556001488,0.027838326556001488,4.268466101658381,-4.268466101658409,-2.7533531010703882e-14,-4.26846610165841,-2.842170943040401e-14,4.260239215606598,4.276692987710166,0.09582480032924386,0.08035698549098888,0.14847621300736868,-0.025127908461575643,0.00010390941511249971,0.09565610862615649,0.08051230030084874,0.00012797642455592028,0.14847621300736913,0.26265736256260586,0.0007131747466479235
1,4.335453665625284,0.38867076518267785,0.019307001656256623,0.026107272931696276,0.0016586869445676148,0.05773526859468836,6.435721097580514e-05,0.02862651531110276,0.05646484186710425,4.286346488538294,-4.286346488538287,7.105427357601002e-15,-4.286346488538287,7.105427357601002e-15,4.276692987710166,4.295999989366423,0.08035698549098888,0.0515185160618863,0.2319974907269433,-0.11652695353756748,0.00025979119009454286,0.08051230030084874,0.05140071450268691,8.535402573338212e-05,-0.05625649442623204,0.1800001623896892,0.00016371483708902876
2,4.348701992429866,0.37255365141399377,0.022518685087820848,0.04702011630373501,0.002987353495292422,0.04443400603801928,4.44604615635713e-05,0.0197763088920487,0.07624115075915294,4.307259331910333,-4.307259331910384,-5.062616992290714e-14,-4.307259331910384,-5.062616992290714e-14,4.295999989366423,4.318518674454244,0.0515185160618863,0.04844497418069275,0.22044899735354706,-0.1315809852775076,0.00027701300295033843,0.05140071450268691,0.0484408663087217,5.613492437059597e-05,-0.0763255086476331,0.1281200469330961,9.353887935023503e-05
3,4.366385972368107,0.35592965923161995,0.02611063688418463,0.07133477728973775,0.004532149493119755,0.042045566259149236,4.615915785673115e-05,0.020531900296768452,0.0967730510559214,4.331573992896336,-4.331573992896356,-1.9539925233402755e-14,-4.331573992896356,-1.9539925233402755e-14,4.318518674454244,4.344629311338428,0.04844497418069275,0.040614635923133094,0.21810298768619818,-0.13401185516789882,0.0003159361349727151,0.0484408663087217,0.04059155972999124,5.1877331997558404e-05,-0.041754348991047685,0.0866145762906041,4.899204283636899e-05
4,4.388826092474397,0.33906562764663933,0.030102467151414826,0.09944132930753748,0.006317857675307357,0.03435655657287828,3.553213884318262e-05,0.015804931587433062,0.11257798264335447,4.359680544914136,-4.359680544914089,4.707345624410664e-14,-4.359680544914089,4.707345624410664e-14,4.344629311338428,4.374731778489843,0.040614635923133094,0.030586858736039273,0.19877909630799584,-0.13006598316223927,0.0003068032465833892,0.04059155972999124,0.030573460006817387,3.836494824627044e-05,-0.021930767589089406,0.05740825751014622,2.526258690631127e-05
5,4.416317191474209,0.32215207214712815,0.03451128689604844,0.1317482063312691,0.008370427289882316,0.026841412206982884,2.4864050392681643e-05,0.011059694919497357,0.12363767756285184,4.391987421937867,-4.391987421937886,-1.865174681370263e-14,-4.391987421937885,-1.7763568394002505e-14,4.374731778489843,4.409243065385891,0.030586858736039273,0.025812470238222036,0.17552787955792448,-0.12184505514395871,0.0002791853801267283,0.030573460006817387,0.025807367568413075,2.7491428830691804e-05,-0.011988071491164876,0.039826056130887855,1.4407208333459375e-05
6,4.449178714593097,0.30535296984340277,0.03935111216897166,0.16867940586377916,0.01071679639063297,0.024160567354926776,2.2970543346532282e-05,0.010217450396678405,0.13385512795953025,4.428918621470377,-4.428918621470389,-1.2434497875801753e-14,-4.428918621470389,-1.2434497875801753e-14,4.409243065385891,4.448594177554863,0.025812470238222036,0.021337612354924155,0.15648524767017014,-0.10816411296031658,0.00025264752035904795,0.025807367568413075,0.021332942462815495,2.1927249577745384e-05,-0.0052091334289821045,0.028123148241827156,8.808737362070348e-06
7,4.487742774450542,0.2887856324096627,0.04463247180679664,0.2106711978516633,0.013384682742896913,0.019067834031767372,1.6227576515997934e-05,0.007218133920874044,0.14107326188040428,4.470910413458261,-4.4709104134582,6.128431095930864e-14,-4.4709104134582,6.128431095930864e-14,4.448594177554863,4.4932266493616595,0.021337612354924155,0.018137804148753427,0.13579859126112637,-0.0976629231975914,0.0002189493001756973,0.021332942462815495,0.01813580107922094,1.741993049878366e-05,-0.0005016317223525135,0.020660847797375537,6.2003151539430754e-06
8,4.532358883898233,0.27254270734625863,0.050362006191380725,0.25816843685075197,0.016402349522453476,0.01772026763760337,1.5814067055980717e-05,0.007034202163904046,0.14810746404430833,4.51840765245735,-4.518407652457376,-2.5757174171303632e-14,-4.518407652457376,-2.5757174171303632e-14,4.4932266493616595,4.54358865555304,0.018137804148753427,0.015557703975017913,0.12019328857734868,-0.08475275330214149,0.00019209317595173263,0.01813580107922094,0.015556155462520404,1.4320009971294603e-05,0.0018617086377685776,0.01563342754984043,4.649670595186948e-06
9,4.583394790266161,0.25669753872743845,0.056542110979304464,0.3116204954360946,0.019798346950745983,0.014063890065609597,1.118363397052035e-05,0.004974554742765786,0.15308201878707411,4.571859711042692,-4.5718597110426735,1.865174681370263e-14,-4.571859711042674,1.7763568394002505e-14,4.54358865555304,4.600130766532344,0.015557703975017913,0.013157765242594825,0.10392893036484163,-0.07580115023362222,0.0001633898225202093,0.015556155462520404,0.013156804355970086,1.1680936089985476e-05,0.003538070481849065,0.012152873726267721,3.829936548818288e-06
