eta,xi,pressure_coefficient
-0.9877159034436096,0.033750277907082786,5.745754504888646
-0.963147710330829,0.10125083372124818,5.943242322563671
-0.9385795172180484,0.16875138953541358,6.052082970954057
-0.9140113241052676,0.2362519453495791,6.10595139784904
-0.8894431309924871,0.3037525011637445,6.142769201995815
-0.8648749378797065,0.3712530569779099,6.172541294846723
-0.8403067447669257,0.4387536127920755,6.19918224009425
-0.815738551654145,0.5062541686062408,6.224557937860352
-0.7911703585413643,0.5737547244204062,6.249687805553251
-0.7666021654285837,0.6412552802345719,6.2751947805030595
-0.742033972315803,0.7087558360487372,6.301499706342736
-0.7174657792030223,0.7762563918629026,6.328914228628502
-0.6928975860902418,0.8437569476770681,6.357688851296138
-0.6683293929774611,0.9112575034912336,6.388039593073167
-0.6437611998646804,0.9787580593053988,6.420163828166067
-0.6191930067518998,1.0462586151195645,6.454250425994541
-0.5946248136391191,1.1137591709337298,6.490486803891538
-0.5700566205263384,1.1812597267478953,6.529064298664663
-0.5454884274135577,1.2487602825620607,6.570182655095694
-0.5209202343007772,1.3162608383762262,6.614054115443317
-0.4963520411879965,1.3837613941903917,6.660907430811116
-0.47178384807521573,1.4512619500045572,6.710992033362274
-0.4472156549624351,1.5187625058187226,6.76458257323231
-0.42264746184965446,1.5862630616328879,6.82198401847898
-0.3980792687368738,1.6537636174470534,6.883537532618497
-0.37351107562409314,1.7212641732612188,6.949627379673818
-0.34894288251131245,1.7887647290753845,7.020689162247941
-0.32437468939853187,1.8562652848895498,7.097219777937177
-0.2998064962857511,1.923765840703715,7.179789590546756
-0.27523830317297043,1.9912663965178807,7.269057465971771
-0.2506701100601899,2.058766952332046,7.365789534237043
-0.22610191694740917,2.1262675081462117,7.470882832040129
-0.20153372383462842,2.193768063960377,7.585395386513579
-0.17696553072184784,2.261268619774542,7.710584865079168
-0.15239733760906715,2.328769175588708,7.847958694957214
-0.12782914449628646,2.3962697314028736,7.9993396101579455
-0.10326095138350583,2.463770287217039,8.166951941549005
-0.0786927582707252,2.531270843031204,8.353535490840782
-0.05412456515794456,2.5987713988453693,8.562494796360882
-0.02955637204516387,2.6662719546595355,8.798089308109367
-0.004988178932383236,2.7337725104737007,9.065655089550226
0.019580014180397454,2.801273066287866,9.371788178677297
0.04414820729317814,2.8687736221020312,9.724188860889146
0.06871640040595872,2.936274177916197,10.129931113811638
0.09328459351873941,3.0037747337303626,10.586520670973782
0.1178527866315201,3.071275289544528,11.032688011529618
0.14242097974430068,3.138775845358693,10.909423574973859
0.16698917285708137,3.2062764011728584,8.399755981779176
