outer_iteration,coefficient_index,unscaled_step,trust_scaled_step,trust_region_step_scale
1,0,-9.231255120878011e-06,-9.231255120878011e-06,1.0
1,1,-1.6028462240284477e-05,-1.6028462240284477e-05,1.0
1,2,4.625668864813224e-06,4.625668864813224e-06,1.0
1,3,-4.4577016873451915e-07,-4.4577016873451915e-07,1.0
1,4,3.728382283081305e-06,3.728382283081305e-06,1.0
1,5,1.2121826476506404e-06,1.2121826476506404e-06,1.0
1,6,3.280786315692486e-06,3.280786315692486e-06,1.0
1,7,1.6469453037614906e-06,1.6469453037614906e-06,1.0
1,8,2.9651146624319566e-06,2.9651146624319566e-06,1.0
1,9,1.770622589502657e-06,1.770622589502657e-06,1.0
1,10,2.7245740768516752e-06,2.7245740768516752e-06,1.0
1,11,1.7990736376002019e-06,1.7990736376002019e-06,1.0
1,12,2.5565264770556774e-06,2.5565264770556774e-06,1.0
1,13,1.850653128459373e-06,1.850653128459373e-06,1.0
1,14,2.5591613435225783e-06,2.5591613435225783e-06,1.0
1,15,2.414980374461847e-06,2.414980374461847e-06,1.0
1,16,4.697742681122676e-06,4.697742681122676e-06,1.0
1,17,4.19033333129562e-06,4.19033333129562e-06,1.0
1,18,3.5210389010420868e-06,3.5210389010420868e-06,1.0
1,19,2.1784642161078957e-06,2.1784642161078957e-06,1.0
1,20,2.525307296187698e-06,2.525307296187698e-06,1.0
1,21,2.596287725311076e-06,2.596287725311076e-06,1.0
1,22,2.8235192173021187e-06,2.8235192173021187e-06,1.0
1,23,2.055255315215756e-06,2.055255315215756e-06,1.0
1,24,1.4268951419051886e-06,1.4268951419051886e-06,1.0
1,25,6.647475342013482e-07,6.647475342013482e-07,1.0
1,26,5.856351877823004e-07,5.856351877823004e-07,1.0
1,27,5.042204029431017e-07,5.042204029431017e-07,1.0
1,28,9.483421383942666e-07,9.483421383942666e-07,1.0
1,29,1.0021598225716217e-06,1.0021598225716217e-06,1.0
1,30,9.429483771091797e-07,9.429483771091797e-07,1.0
1,31,6.552495879791905e-07,6.552495879791905e-07,1.0
