node,y_over_Vt,material_dphi_dt_over_V2,similarity_material_dphi_dt_over_V2,auxiliary_psi_over_V2,difference_over_V2,cp_from_auxiliary,cp_from_finite_difference,cp_from_similarity_derivative
79,0.34759325813259717,65.24856956574634,-0.48273226613186204,-257.299959269553,-322.54852883529935,515.502421073008,-129.5946365975907,1.8679670661656926
80,0.6951865162651943,66.3806162487832,-0.594434933732519,-261.85847764458646,-328.23909389336967,524.4444290021466,-132.0337587845927,1.9163435804387645
81,1.0427797743977913,68.04607777077216,-0.7623281292760391,-268.4766671079783,-336.5227448787505,537.4576273722656,-135.58786238523527,2.0289494148611302
82,1.3903730325303887,70.24945950930112,-1.0025289178705385,-277.26286491936196,-347.5123244286631,554.7356480100518,-140.28900084727425,2.2149760070690534
83,1.7379662906629858,73.06528238856251,-1.340143503004873,-288.5296400258867,-361.59492241444923,576.87030547143,-146.3195393574684,2.49131242566639
84,2.0855595487955827,76.61716116610462,-1.8171570579494503,-302.8013133682562,-379.4184745343608,604.852054766597,-153.98489430212462,2.8837421459835157
85,2.43315280692818,81.09109068901307,-2.504226829818836,-320.88464888853474,-401.9757395775478,640.1885922050355,-163.7628869500601,3.4277480876037147
86,2.7807460650607774,86.76020289818442,-3.5245257766872964,-344.0083158516874,-430.7685187498719,685.1321796266378,-176.40485787310593,4.164599476637523
87,3.1283393231933743,94.02073210557162,-5.103722364155038,-374.070420975825,-468.09115308139667,743.0484201717879,-193.13388599100531,5.115022948448017
88,3.4759325813259716,103.42673637413964,-7.679274275039457,-414.0616116110655,-517.4883479852051,818.9242497168214,-216.05244625358893,6.159575044769253
89,3.823525839458569,115.64641342551226,-12.138992980469894,-468.6935615240301,-584.3399749495424,919.6452702768627,-249.034679622222,6.536133189742305
90,4.171119097591165,131.04370910702295,-20.216702144666446,-544.573792133932,-675.6175012409549,1051.6163784036867,-299.61862407822304,2.9021984251557384
91,4.518712355723762,148.8402769778213,-33.69805467950706,-643.3258609975004,-792.1661379753217,1204.815013930117,-379.51726202052635,-14.440598705869625
