iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda,raw_shallow_water_step_count,raw_step_count_is_even,root_state_jump,boundary_panel_count_change,raw_step_parity_change,condition_number_ratio,explicit_matching_surface_adjustment
2058,1.9707227014452435,0.0138254129671673,8.224718888516223,0.1418330941936529,2.0610543678511646,2.083977262924699,0.0111219264426457,0.5529612656638803,8.745279033508734,36806.861132990605,0.0009640965057818,0.2486931820002594,0.0043853111624778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,3.1865125880308865e-06,0.0001969802398185,520.0,True,False,False,True,,False
2059,1.9716873617358244,0.013669034975767,8.223937186061386,0.1378566052444411,2.069718425183318,2.125348771973488,0.0268782198164189,0.5530595776152154,8.498153137678178,36815.753458823376,0.000964660290581,0.2486066982028311,0.0044130180839282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,260.0,688.0,7.279920118144404e-05,0.0046033171312207,519.0,False,False,False,True,1.0002415942451772,False
2060,1.9726526237087476,0.0141304088616059,8.22693885809984,0.1500111388979416,2.067489040285234,1.9987877108283916,0.0332293560537396,0.5529603212217116,9.25414969790334,36768.64598379756,0.0009652619729229,0.2485199994631349,0.0042484208816319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,260.0,688.0,7.0441655501851775e-06,0.0004120453306539,521.0,False,True,False,False,0.998720453322285,False
2061,1.9736160946888508,0.013984038110994,8.22589800404571,0.1460297768347865,2.0585658833841274,2.0408848691747465,0.0085889960346154,0.5529428869810848,9.00625470396493,36926.30063351503,0.0009634709801035,0.2487740878765117,0.0043308091427265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,7.157660983289828e-05,0.0043123089516574,520.0,True,False,False,True,1.0042877469512186,False
2062,1.9745800929726065,0.0138645661366897,8.22499280968846,0.1420473570559957,2.05939850945694,2.0822165873225567,0.0110799720213617,0.5529800622144896,8.758638605623442,36813.62958692836,0.0009639982837557,0.2486965745629106,0.0044028579702352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,7.1710882353525474e-06,0.0004431073837275,520.0,True,False,False,False,0.996948758888552,False
2063,1.9755446567241548,0.0137130661239075,8.224206433485543,0.1380702989029793,2.068031421277312,2.123480392096951,0.0268124411694824,0.5530753043046952,8.511470649701979,36814.4556595554,0.0009645637515481,0.2486101690365945,0.0044343089066122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,260.0,688.0,7.675880133039139e-05,0.0048507685194441,519.0,False,False,False,True,1.0000224393149035,False
2064,1.976509823951103,0.014155337273388,8.227224145932707,0.1502250451853448,2.0658010085062317,1.9972521227583804,0.0331827148237371,0.5529853336192554,9.267508024450516,36767.34706599513,0.0009651672269483,0.248525508130784,0.0042560629582041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,260.0,688.0,1.1250286410798148e-05,0.0006577951362042,521.0,False,True,False,False,0.9987203778321234,False
2065,1.9774731995805623,0.0140130411485328,8.226178529178572,0.1462437947425426,2.056896474028238,2.0392461103017863,0.0085810656731231,0.5529650611895212,9.019606644299492,36933.04817515876,0.0009633756294593,0.2487776088177488,0.0043415949004678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,7.567249323449128e-05,0.0045566925742718,520.0,True,False,False,True,1.00450674640371,False
2066,1.978437104603392,0.0138984761461497,8.225268637713846,0.1422611828367824,2.057724075281098,2.0804713596558178,0.011054584357532,0.5529992764145304,8.771971185512047,36820.37593230594,0.0009639050228296,0.2487001532340468,0.0044173259606549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,1.115288907510958e-05,0.0006887900835997,520.0,True,False,False,False,0.9969492839497445,False
2067,1.9794015766714343,0.0137522691941649,8.22447758819085,0.138283581916458,2.066332164900872,2.1216251546906,0.0267590035759718,0.5530914286354467,8.524762818568073,36813.15283576423,0.0009644720680424,0.2486138466081686,0.0044527258020899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,260.0,688.0,8.071806420083583e-05,0.0050979601922262,519.0,False,False,False,True,0.9998038288214387,False
2068,1.980366653809224,0.0141815194194683,8.227512227000602,0.1504384212913137,2.0641061170716,1.9957348564248625,0.0331239077687236,0.553011160385261,9.280834201510324,36766.04275955434,0.0009650771377894,0.248532234508125,0.0042644891121384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,260.0,688.0,1.5462159121179647e-05,0.0009036546937172,521.0,False,True,False,False,0.9987202922710785,False
2069,1.981329931375352,0.0140429591152257,8.226461874586544,0.1464572902445111,2.055225033611028,2.037625427608231,0.0085633474266681,0.5529880793158792,9.032926975935936,36939.79451861581,0.000963277566128,0.2487811154884071,0.0043530000017914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,260.0,688.0,7.977591198046959e-05,0.0048013086107184,520.0,True,False,False,True,1.0047258759991602,False
