component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.07899414443358208,0.5464541444335821,1.7184092592251008,False
front,1.4,0.5210103736753127,0.9884703736753127,3.108397401494694,False
longitudinal_bin_aft_post_chine,1.4,-0.33787125968237286,0.12958874031762713,0.40751176200511674,False
longitudinal_bin_forward_post_chine,1.4,0.12359761396878963,0.5910576139687896,1.858671742040219,False
longitudinal_bin_middle_post_chine,1.4,-0.10882494711874127,0.35863505288125874,1.127783185161191,False
longitudinal_bin_pre_chine,1.4,0.3390503793029434,0.8065103793029433,2.5361961613300106,False
post_chine_bem,1.4,-0.03232689509643892,0.43513310490356105,1.3683430971810095,False
pre_chine_bem,1.4,0.3390503793029434,0.8065103793029433,2.5361961613300106,False
raw_bem,1.4,0.07899414443358208,0.5464541444335821,1.7184092592251008,False
resolved_station_bem,1.4,0.08766572031060307,0.555125720310603,1.7456783657566133,False
total,1.4,0.17701092817330524,0.6444709281733052,2.0266381389097647,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.43505446753170723,0.03240553246829275,0.101904190151864,False
