panel_count,arc_fraction_lower,arc_fraction_upper,residual_energy_fraction
320,0.0,0.1,0.6733260932438279
320,0.1,0.2,0.159608363845076
320,0.2,0.3,0.07424974081736085
320,0.3,0.4,0.04136576188094825
320,0.4,0.5,0.022025828969427588
320,0.5,0.6,0.011757670053314222
320,0.6,0.7,0.005883837210636128
320,0.7,0.8,0.0031229228738193613
320,0.8,0.9,0.0008317826156841445
320,0.9,1.0,0.007827998489905758
640,0.0,0.1,0.6682217685656908
640,0.1,0.2,0.15931809119211945
640,0.2,0.3,0.0760866286752308
640,0.3,0.4,0.04182199322180361
640,0.4,0.5,0.023666316939078016
640,0.5,0.6,0.011639087567177029
640,0.6,0.7,0.00585062544236345
640,0.7,0.8,0.0034542527454700157
640,0.8,0.9,0.000883354642575015
640,0.9,1.0,0.00905788100849181
1280,0.0,0.1,0.6657699318970999
1280,0.1,0.2,0.1611086618589619
1280,0.2,0.3,0.07561710165680967
1280,0.3,0.4,0.04240534056459821
1280,0.4,0.5,0.023488520838994255
1280,0.5,0.6,0.011867856683896057
1280,0.6,0.7,0.005957301732474133
1280,0.7,0.8,0.0033997382931384964
1280,0.8,0.9,0.0008769541193024159
1280,0.9,1.0,0.009508592354724997
