component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.562873428,-0.0450451138523128,0.6519548861476864,1.5376294484615245,False
front,1.562873428,0.6111211990809412,1.3081211990809405,3.0851915072663694,False
longitudinal_bin_aft_post_chine,1.562873428,-0.5457991480547835,0.1512008519452157,0.3566057828896597,False
longitudinal_bin_forward_post_chine,1.562873428,0.034769529079174515,0.7317695290791737,1.7258715308471078,False
longitudinal_bin_middle_post_chine,1.562873428,-0.25265801790947073,0.44434198209052844,1.04797637285502,False
longitudinal_bin_pre_chine,1.562873428,0.3310505398510832,1.0280505398510824,2.4246474996487795,False
post_chine_bem,1.562873428,-0.1985605780863621,0.4984394219136371,1.1755646743246158,False
pre_chine_bem,1.562873428,0.3310505398510832,1.0280505398510824,2.4246474996487795,False
raw_bem,1.562873428,-0.0450451138523128,0.6519548861476864,1.5376294484615245,False
resolved_station_bem,1.562873428,-0.02513564413837692,0.6718643558616223,1.5845857449566565,False
total,1.562873428,0.038598538582353015,0.7355985385823522,1.7349022136376233,False
transom,1.562873428,nan,nan,nan,False
transom_extrapolation,1.562873428,-0.6541666697363858,0.042833330263613356,0.10102200533871075,False
