reuse_step,step_factor,panel_count,exact_objective,signed_root_defect,root_relative_mismatch,condition_number
1,1.0,320,0.005592081230346556,1.9482828868874725e-07,1.9482828868874725e-07,253442.534976868
1,0.75,320,0.005443248427653851,1.0919786204507472e-07,1.0919786204507472e-07,253436.38617658656
1,0.5,320,0.0053440683330588865,4.8316864591201037e-08,4.8316864591201037e-08,253433.68953730055
1,0.25,320,0.005295087841343057,1.2078853281737675e-08,1.2078853281737675e-08,253426.76918393228
1,0.125,320,0.005289308941880592,3.035190152716551e-09,3.035190152716551e-09,253423.30921856282
2,1.0,320,0.005685598707933448,1.9528194960708825e-07,1.9528194960708825e-07,253445.61556686173
2,0.75,320,0.005511767396133452,1.0940956825873698e-07,1.0940956825873698e-07,253439.46581621334
2,0.5,320,0.0053875641070324715,4.835711902237011e-08,4.835711902237011e-08,253437.15839827858
2,0.25,320,0.005313588716056761,1.2050220826881828e-08,1.2050220826881828e-08,253430.2378319929
2,0.125,320,0.005295313144607198,3.007420203341499e-09,3.007420203341499e-09,253426.7777520899
