benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,time_component_value,time_component_raw,forward_gradient_component_value,forward_gradient_component_raw,end_component_value,end_component_raw,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,scheme_central,1,Recomputes only the forward-speed pressure term with a central body-potential x-gradient.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,scheme_forward,2,Recomputes only the forward-speed pressure term with a forward body-potential x-gradient.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,scheme_backward,3,Recomputes only the forward-speed pressure term with a backward body-potential x-gradient.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_aligned_central,4,Phase-aligns adjacent body-potential states before applying the central x-gradient; this diagnoses station-to-station phase flips without changing the BIE solution.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_aligned_forward,5,Phase-aligns adjacent body-potential states before applying the forward x-gradient; this isolates one-sided start-up sensitivity from phase wrapping.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,phase_aligned_backward,6,Phase-aligns adjacent body-potential states before applying the backward x-gradient; this checks whether upstream differencing reduces the first active pair spike.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,startup_aft_gradient_zero,7,Sets the first aft active station's body-potential x-gradient to zero while leaving all other stations unchanged.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,startup_aft_gradient_copy_second,8,"Copies the second active station's x-gradient to the first aft station, treating the first station as a start-up extrapolation point.",False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,startup_first_pair_gradient_average,9,Replaces the first two active station gradients by their pair average to measure local spike sensitivity without changing downstream stations.,False,6.556558905068958,6.556558905068958,17.501231452332505,1.0,0.0,0.0,0.15,0.0,0.9834838357603437,0.0,0.0,0.0,PASS,6.556558905068958,17.501231452332505,0.0,0.0,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate
