benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,station_index,x_m,x_over_l,total_density_value_per_m,time_derivative_density_value_per_m,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,total_density_sign,pressure_gradient_density_sign,stokes_body_forward_density_sign
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,0,0.25,0.25,35.75007111058955,35.75007111058955,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,1,0.5,0.5,7.623554590586373,7.623554590586373,0.0,0.0,positive,zero,zero
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,6.556558905068958,2,0.75,0.75,1.455290948789371,1.455290948789371,0.0,0.0,positive,zero,zero
