benchmark,candidate_name,candidate_order,time_derivative_pressure_scale,forward_speed_pressure_gradient_scale,stokes_body_forward_speed_scale,end_contour_scale,row_count,pass_count,fail_count,pass_fraction,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,improved_row_count,worsened_row_count,median_time_derivative_contribution_value,median_forward_speed_pressure_gradient_contribution_value,median_stokes_body_forward_speed_contribution_value,median_end_contour_contribution_value,max_abs_current_force_closure_residual_value,candidate_gate_status,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,current_default,0,1.0,1.0,0.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_only_no_gradient_no_end,1,1.0,0.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_plus_gradient_no_end,2,1.0,1.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_removed_keep_time_end,3,1.0,0.0,0.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_flipped_keep_time_end,4,1.0,-1.0,0.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_half_keep_time_end,5,1.0,0.5,0.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,gradient_double_keep_time_end,6,1.0,2.0,0.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,end_flipped_keep_pressure,11,1.0,1.0,0.0,-1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_plus_stokes_plus_end,12,1.0,0.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,all_terms_include_stokes,13,1.0,1.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0,0,6.556558905068958,0.0,0.0,0.0,0.0,PASS,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_half_keep_gradient_end,9,0.5,1.0,0.0,1.0,1,0,1,0.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0,1,3.278279452534479,0.0,0.0,0.0,0.0,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_removed_keep_gradient_end,7,0.0,1.0,0.0,1.0,1,0,1,0.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,1,0.0,0.0,0.0,0.0,0.0,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_double_keep_gradient_end,10,2.0,1.0,0.0,1.0,1,0,1,0.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,0,1,13.113117810137917,0.0,0.0,0.0,0.0,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,time_flipped_keep_gradient_end,8,-1.0,1.0,0.0,1.0,1,0,1,0.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,0,1,-6.556558905068958,0.0,0.0,0.0,0.0,FAIL,diagnostic_eq30_pressure_balance_candidate_not_hard_gate,INFO
