benchmark,candidate_name,candidate_order,coefficient_count,row_count,pass_count,fail_count,pass_fraction,improved_row_count,worsened_row_count,improves_but_still_fails_count,improves_this_coefficient_only_count,breaks_currently_passing_coefficient_count,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,median_forward_gradient_component_value,max_abs_forward_gradient_component_value,candidate_default_decision,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,startup_aft_gradient_zero,13,8,10,1,9,0.1,1,9,1,0,0,2.636464327434215,4.087583274874839,2.086201694902008,2.7368487552150773,-0.011691602163512718,0.3617203425809896,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_first_pair_gradient_average,15,8,10,1,9,0.1,1,9,1,0,0,2.6217440188786574,4.1432918568314445,2.0874153839274006,2.6717932854703292,-0.010982377498272725,0.35475050735704927,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_default,0,8,10,1,9,0.1,1,9,0,0,0,2.6118974185891846,4.148920249010576,2.0723396587429326,2.6993524920868133,-0.011291645312623793,0.3573324133930934,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_copy_second,14,8,10,1,9,0.1,1,9,1,0,0,2.603821525936172,4.153459545497463,2.0632724495075676,2.72042670690814,-0.011516435088769279,0.3591723645248863,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_forward,11,8,10,2,8,0.2,0,10,0,1,0,2.8259412321356407,12.618575461441736,2.0183090463558195,12.023230880599046,-0.05497664842049794,0.8524962249425028,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_forward,8,8,10,4,6,0.4,1,9,0,3,0,2.3366569381801643,12.687823473633253,1.6759580865733947,12.092478892790563,-0.04492716694518082,0.7274517824330858,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_forward,2,8,10,2,8,0.2,0,10,0,1,0,2.768354415658705,12.701399251621188,1.967921509053858,12.106054670778498,-0.05327371943379139,0.8392220749104577,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_central,10,8,10,2,8,0.2,0,10,0,1,0,2.893396246911134,13.388535879469291,2.0830143415941302,12.793191298626601,-0.0557164101724586,0.8350036177585183,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_central,1,8,10,2,8,0.2,0,10,0,1,0,2.834667291507845,13.43695505300066,2.0242853861908414,12.841610472157969,-0.05433220650031427,0.8243475821737686,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_central,7,8,10,3,7,0.3,1,9,0,2,0,2.264514233077617,13.774694968778656,1.6038153814708473,13.179350387935965,-0.04368508253550273,0.7029925727621211,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_backward,3,8,10,2,8,0.2,0,10,0,1,0,2.9077250192594115,14.14169372964026,2.097343113942408,13.54634914879757,-0.057506532225211196,0.8124534064085551,excluded_incomplete_gate1_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_backward,12,8,10,1,9,0.1,0,10,0,1,1,2.9603434947591785,14.159382350709624,2.1499615894421753,13.564037769866934,-0.061792162257998384,0.8174017724018832,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_backward,9,8,10,1,9,0.1,0,10,0,1,1,2.1905266922511824,14.874706773446757,1.5298278406444128,14.279362192604067,-0.042410758847618,0.6773212012176212,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_forward,5,8,10,2,8,0.2,0,10,0,2,1,2.667593805902781,15.847061075869945,1.904491261938817,15.251716495027255,-0.015002922307712758,0.4221471475349235,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_central,4,8,10,2,8,0.2,0,10,0,2,1,2.5868795108005616,15.97543982921201,1.8912662701340526,15.38009524836932,-0.013104655023770756,0.37878933153748745,excluded_breaks_currently_passing_coefficients,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
