benchmark,candidate_name,matrix_cell,pair_key,pair_status,coefficient,reference_value,current_computed_value,candidate_computed_value,current_abs_error,candidate_abs_error,current_gate_error_ratio,candidate_gate_error_ratio,candidate_status,omega_e_sqrt_l_over_g,omega_rad_s,raw_force_real,raw_force_imag,reference_force_real,reference_force_imag,candidate_force_real,candidate_force_imag,candidate_force_to_reference_residual_norm,candidate_operation,paired_coefficients,candidate_default_gate_eligible,candidate_exclusion_reason,diagnostic_conclusion,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,current_ab_split,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,A33,0.941,0.8954918095166653,0.8954918095166653,0.045508190483334654,0.045508190483334654,0.3224101344905041,0.3224101344905041,PASS,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,1163.8291564895844,-1040.9940866513168,0.09635470098473183,"A=Re(F)/omega^2, B=-Im(F)/omega; current convention baseline.","A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_closes_this_coefficient_diagnostic_only,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_ab_split,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,B33,2.05,1.7861811857284653,1.7861811857284653,0.26381881427153453,0.26381881427153453,0.8579473634846653,0.8579473634846653,PASS,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,1163.8291564895844,-1040.9940866513168,0.09635470098473183,"A=Re(F)/omega^2, B=-Im(F)/omega; current convention baseline.","A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_closes_this_coefficient_diagnostic_only,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,damping_sign_flipped,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,A33,0.941,0.8954918095166653,0.8954918095166653,0.045508190483334654,0.045508190483334654,0.3224101344905041,0.3224101344905041,PASS,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,1163.8291564895844,1040.9940866513168,1.3081352906190093,Keep A; flip damping sign B -> -B.,"A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_closes_this_coefficient_diagnostic_only,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,damping_sign_flipped,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,B33,2.05,1.7861811857284653,-1.7861811857284653,0.26381881427153453,3.8361811857284653,0.8579473634846653,12.47538596984867,FAIL,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,1163.8291564895844,1040.9940866513168,1.3081352906190093,Keep A; flip damping sign B -> -B.,"A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_sign_flipped,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,A33,0.941,0.8954918095166653,-0.8954918095166653,0.045508190483334654,1.8364918095166654,0.3224101344905041,13.01092319884283,FAIL,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,-1163.8291564895844,-1040.9940866513168,1.398926005822121,Flip added-mass sign A -> -A; keep B.,"A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_sign_flipped,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,B33,2.05,1.7861811857284653,1.7861811857284653,0.26381881427153453,0.26381881427153453,0.8579473634846653,0.8579473634846653,PASS,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,-1163.8291564895844,-1040.9940866513168,1.398926005822121,Flip added-mass sign A -> -A; keep B.,"A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_closes_this_coefficient_diagnostic_only,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_and_damping_sign_flipped,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,A33,0.941,0.8954918095166653,-0.8954918095166653,0.045508190483334654,1.8364918095166654,0.3224101344905041,13.01092319884283,FAIL,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,-1163.8291564895844,1040.9940866513168,1.9128323710995836,Flip both A and B signs.,"A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_and_damping_sign_flipped,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,B33,2.05,1.7861811857284653,-1.7861811857284653,0.26381881427153453,3.8361811857284653,0.8579473634846653,12.47538596984867,FAIL,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,-1163.8291564895844,1040.9940866513168,1.9128323710995836,Flip both A and B signs.,"A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,force_phase_plus_90_then_current_split,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,A33,0.941,0.8954918095166653,0.8009781101921369,0.045508190483334654,0.140021889807863,0.3224101344905041,0.9920077209200355,PASS,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,1040.9940866513168,1163.8291564895844,1.3836237368290605,"Rotate reconstructed complex generalized force by +90 deg, then apply current A/B split.","A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_closes_this_coefficient_diagnostic_only,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,force_phase_plus_90_then_current_split,33,33:wigley_iii:Fn0.4:omega_bar=2.23,paired_same_frequency_ab_force_reconstruction,B33,2.05,1.7861811857284653,-1.9969467352221637,0.26381881427153453,4.046946735222163,0.8579473634846653,13.160802390966387,FAIL,2.23,4.031851922917474,1163.8291564895844,-1040.9940866513168,1222.974040206805,-1194.7488276587496,1040.9940866513168,1163.8291564895844,1.3836237368290605,"Rotate reconstructed complex generalized force by +90 deg, then apply current A/B split.","A33,B33",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
