benchmark,matrix_cell,coefficient,pair_status,station_index,x_m,x_over_l,trapz_weight_m,is_configured_end_station,configured_end_station_index,direct_pressure_gradient_station_contribution_value,projection_transport_station_contribution_value,stokes_body_forward_station_contribution_value,end_contour_station_contribution_value,inferred_geometry_transport_station_contribution_value,required_geometry_transport_station_contribution_value,station_geometry_transport_residual_value,station_abs_residual_share_of_total_abs,station_residual_to_required_abs_ratio,diagnostic_flags,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,0,0.075,0.024999999999999998,0.0375,True,0,0.0005423143740866756,0.0029536389350877843,0.0,0.0,0.0024113245610011087,-0.0005423143740866756,0.0029536389350877843,0.033541424038950274,5.446359300474152,first_active_station;configured_end_station;near_aft_startup_region;inferred_required_opposite_sign,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,1,0.15,0.049999999999999996,0.07499999999999998,False,0,0.0008985764925859599,0.005206253797201923,0.0,0.0,0.004307677304615963,-0.0008985764925859599,0.005206253797201923,0.05912204237013646,5.793890492526857,peak_abs_geometry_transport_residual;near_aft_startup_region;inferred_required_opposite_sign,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,2,0.22499999999999998,0.075,0.075,False,0,6.946139598769002e-05,0.0043302438593193025,0.0,0.0,0.004260782463331612,-6.946139598769002e-05,0.0043302438593193025,0.04917410308757748,62.34029416982507,inferred_required_opposite_sign,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,3,0.3,0.09999999999999999,0.07500000000000001,False,0,-0.0006660978384964568,0.003200402336011784,0.0,0.0,0.003866500174508241,0.0006660978384964568,0.003200402336011784,0.03634366088969093,4.804703079709526,none,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,4,0.375,0.125,0.07499999999999998,False,0,-0.0013900461485175854,0.0019719830100674283,0.0,0.0,0.003362029158585014,0.0013900461485175854,0.0019719830100674287,0.022393772492815326,1.4186457134322121,none,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,5,0.44999999999999996,0.15,0.07500000000000001,False,0,-0.002078803031550998,0.0007496820899771582,0.0,0.0,0.0028284851215281564,0.002078803031550998,0.0007496820899771583,0.008513364506275715,0.3606316128074045,none,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,6,0.525,0.17500000000000002,0.07500000000000001,False,0,-0.002693865523334076,-0.0003865763640700827,0.0,0.0,0.002307289159263993,0.002693865523334076,-0.0003865763640700827,0.0043899481404706285,0.14350247283005968,none,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,7,0.6,0.19999999999999998,0.07499999999999996,False,0,-0.003200640126873449,-0.0013777367297779465,0.0,0.0,0.0018229033970955026,0.003200640126873449,-0.0013777367297779465,0.015645531794205348,0.4304566196649515,none,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,False,0,-0.0035722394514461344,-0.0021822798076242605,0.0,0.0,0.001389959643821874,0.0035722394514461344,-0.0021822798076242605,0.02478189582674522,0.6108996435669556,none,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,35,A35,same_frequency_ab_pair,9,0.75,0.25,0.07500000000000001,False,0,-0.0037894820789825356,-0.0027730393295962988,0.0,0.0,0.0010164427493862369,0.0037894820789825356,-0.0027730393295962988,0.03149054101560707,0.7317726464458836,none,false,diagnostic-only; station-local projection transport cannot change the default until the Eq.31/Eq.32 geometry-transport identity closes and Gate 1 passes.,diagnostic_station_geometry_transport_closure_not_hard_gate,INFO
