benchmark,coefficient,source_row,station_index,x_m,x_over_l,lever_arm_m,waterplane_beam_m,effective_draft_m,submerged_area_m2,omega_rad_s,rho_water_kg_m3,normalization_scale,reference_value,matched_body_normal_velocity_norm,matched_body_potential_norm,matched_body_potential_to_normal_velocity_gain,matched_pressure_to_potential_formula_ratio,independent_section_body_normal_velocity_norm,independent_section_body_potential_norm,independent_section_body_potential_to_normal_velocity_gain,independent_section_pressure_norm,independent_section_pressure_to_potential_formula_ratio,independent_to_matched_body_potential_norm_ratio,independent_to_matched_body_potential_gain_ratio,matched_time_density_value_per_m,independent_section_time_density_value_per_m,independent_to_matched_abs_ratio,independent_to_matched_signed_ratio,sign_agreement,section_bem_heave_force_real_per_m,section_bem_heave_force_imag_per_m,section_bem_generalized_force_real_per_m,section_bem_generalized_force_imag_per_m,section_bem_heave_added_mass_per_m,section_bem_heave_damping_per_m,section_bem_condition_number,section_bem_residual_norm,section_bem_body_panel_count,section_bem_free_surface_panel_count,section_bem_status,section_geometry_source,independent_reference_status,equation_position,diagnostic_conclusion,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,1.425,0.03452962500000001,0.1875,0.004316203125000001,4.031851922917474,1025.0,79.95,0.941,1.0702187802957153,1.395242201930657,1.3036981107219343,1.0,1.1937748358645277,0.06145187333626353,0.05147693810429526,253.95897501963753,1.0,0.044043875143132794,0.03948532078165661,-0.006982083836406609,0.002559205025594251,0.36653885653016854,-0.36653885653016854,no,3.3260800317412977,-0.004733331148102417,3.3260800317412977,-0.004733331148102417,0.20460844179626037,0.0011739843720940397,566.3437406437115,1.1619117798058363e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,1.35,0.06623399999999997,0.1875,0.008279249999999997,4.031851922917474,1025.0,79.95,0.941,2.0107297107905167,1.582375243503695,0.7869656647593801,1.0,2.244942558435069,0.13156259169349566,0.058603990199734494,543.7019105110127,1.0000000000000002,0.08314247346425224,0.07446829362962493,-0.0019764518644322534,0.010589116370971137,5.357639394882464,-5.357639394882464,no,13.76218324168607,-0.020096654384207685,13.76218324168607,-0.020096654384207685,0.8465998538591424,0.004984472338871418,3.215910963476562,2.9403935164667877e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,1.275,0.09527962500000002,0.1875,0.011909953125000003,4.031851922917474,1025.0,79.95,0.941,2.811745077359882,1.6821424000811611,0.5982556575365738,1.0,3.1425115463737536,0.1900892204088332,0.060489585353531425,785.5718785520187,1.0000000000000002,0.11300423816655572,0.10110992615198704,0.01669749420895202,0.021999703970621353,1.3175452373462517,1.3175452373462517,yes,28.591994525297014,-0.043171653912897075,28.591994525297014,-0.043171653912897075,1.7588763324511774,0.010707648678143366,2.8961628898915017,1.7584759366398145e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,1.2,0.12182399999999996,0.1875,0.015227999999999995,4.031851922917474,1025.0,79.95,0.941,3.4822803916969276,1.7632685620540953,0.5063545618722702,1.0,3.8954024265041944,0.23990037315111115,0.061585517203264196,991.4238503178752,1.0,0.13605435854402265,0.12162528362645494,0.04623755852755183,0.035445040438066996,0.7665854678928639,0.7665854678928639,yes,46.06627450567097,-0.07170744571932872,46.06627450567097,-0.07170744571932872,2.8338309830234567,0.017785237922984223,2.7410389594430438,1.3067292498250625e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,1.125,0.146015625,0.1875,0.018251953125,4.031851922917474,1025.0,79.95,0.941,4.039379866597088,1.8365858838042304,0.454670257430241,1.0,4.521587843148993,0.2845432482509094,0.0629299392429239,1175.9171486789535,1.0,0.1549305430038033,0.1384078641928301,0.08411510025828241,0.05022158869676517,0.59705794254011,0.59705794254011,yes,65.27066868659651,-0.10360075332813001,65.27066868659651,-0.10360075332813001,4.0152160163063755,0.025695574963765993,3.044994406464995,1.4953983052744176e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,5,0.44999999999999996,0.15,1.05,0.167994,0.1875,0.02099925,4.031851922917474,1025.0,79.95,0.941,4.501392351300204,1.9041354443145075,0.42301032563058133,1.0,5.040958794009189,0.32437171609803783,0.0643472262624979,1340.5141954721626,1.0,0.17035117804595684,0.15211738901781066,0.12816068303957917,0.06563703079088808,0.5121463871304255,0.5121463871304255,yes,85.30540354251951,-0.137042601049822,85.30540354251951,-0.137042601049822,5.247680611731502,0.03398998863794013,3.3509782474067684,2.8263591452512323e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,6,0.525,0.17500000000000002,0.975,0.18788962500000003,0.1875,0.023486203125000004,4.031851922917474,1025.0,79.95,0.941,4.8849537469852065,1.9659175866543936,0.4024434392787603,1.0,5.47138349162446,0.3597112537498198,0.06574411285563556,1486.5600728794227,0.9999999999999997,0.18297371985057514,0.16336236707811408,0.17651752098225088,0.08113543980750469,0.4596452485623962,0.4596452485623962,yes,105.44796665817222,-0.17105423991042212,105.44796665817222,-0.17105423991042212,6.4867784126100005,0.042425724748999756,3.60295271108245,2.756818935398044e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,7,0.6,0.19999999999999998,0.9,0.20582399999999998,0.1875,0.025727999999999997,4.031851922917474,1025.0,79.95,0.941,5.204068011707894,2.0214341828217455,0.3884334674862065,1.0,5.829076703785046,0.3909863351049944,0.06707517416113461,1615.8089822032157,1.0,0.19342026489292452,0.172681243444906,0.227592857006171,0.09631666530760093,0.4231972240894598,0.4231972240894598,yes,125.17830107383986,-0.20490772924039088,125.17830107383986,-0.20490772924039088,7.700517391342694,0.05082223582559509,3.8102814478536953,1.4390087021925977e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,8,0.6749999999999999,0.22499999999999998,0.8250000000000001,0.22190962499999997,0.1875,0.027738703124999996,4.031851922917474,1025.0,79.95,0.941,5.470118590840522,2.0701163639018634,0.3784408563587971,1.0,6.126519022570017,0.41855494176172836,0.06831855744179971,1729.7403354583516,1.0,0.20218908900986327,0.1805263789410395,0.2800115980132121,0.11086586352606526,0.3959331124592708,0.3959331124592708,yes,144.08721895588553,-0.23807547833905435,144.08721895588553,-0.23807547833905435,8.863725788908917,0.05904866619376771,3.981131132206596,2.1139159297955525e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A33,0,9,0.75,0.25,0.75,0.23625000000000002,0.1875,0.029531250000000002,4.031851922917474,1025.0,79.95,0.941,5.692207122041916,2.111443920662075,0.3709358910159712,1.0,6.374037036642008,0.4427262339128415,0.06945774418437958,1829.631782965689,1.0,0.2096793713441454,0.18724999620322255,0.33257429311812087,0.12454765633375982,0.37449574098477917,0.37449574098477917,yes,161.86881027076186,-0.27010310978666363,161.86881027076186,-0.27010310978666363,9.957585123884098,0.06699231890223173,4.1220144988471255,2.418655552973803e-16,8,8,experimental_section_pressure_transfer_not_validated,analytic_wigley_parabolic_open_section_from_station_waterplane_beam,EXPERIMENTAL_OPEN_SECTION_BEM_REFERENCE_NOT_HARD_GATE,"A1/Ma Eq.30 time-pressure p=-rho*i*omega*phi; A33 uses the heave generalized-force row, and A53 multiplies the same section heave force by the longitudinal pitch lever.",independent_open_section_bem_scale_reported,false,The independent section-BEM comparison is a scale audit only; it is not a coefficient fit and does not alter matched_bie_station_sweep.,diagnostic_open_section_pressure_reference_not_hard_gate,INFO
